state,year,gasoline,diesel,ethanol_flex_e85,electric_ev,plug-in_hybrid_electric_phev,hybrid_electric_hev,biodiesel
Alabama,2024,0.8507880910683012,0.02624909858864737,0.08970845781394869,0.0036056454105284847,0.0014010507880910684,0.01598846193468631,0.012259194395796848
Alaska,2024,0.8155752212389381,0.05345132743362832,0.08283185840707964,0.006017699115044248,0.0019469026548672567,0.021415929203539824,0.018761061946902656
Arizona,2024,0.8397210941690292,0.030403800475059382,0.0657880622174546,0.017040839782392153,0.0044900773887058465,0.030986131330932497,0.011569994636426327
Arkansas,2024,0.8306563989732306,0.03351668500183352,0.10007334066740008,0.0034836817015034835,0.0013934726806013934,0.01631829849651632,0.014558122478914559
California,2024,0.8357741145259464,0.019733956632898664,0.0350285084669612,0.041021704945389974,0.011956975214214653,0.05068142189321894,0.005803318321370118
Colorado,2024,0.8262697087057873,0.03676511077256291,0.05991079458893926,0.023310879022044383,0.008938896128925681,0.03142379912262991,0.013380811659110516
Connecticut,2024,0.8863009922822491,0.013953969128996692,0.044962789415656006,0.01357497243660419,0.007752205071664829,0.029355016538037487,0.004100055126791621
Delaware,2024,0.8640437158469946,0.015191256830601093,0.06874316939890711,0.012131147540983607,0.005027322404371585,0.028852459016393443,0.006010928961748634
District of Columbia,2024,0.8302439024390244,0.005853658536585366,0.05268292682926829,0.03284552845528455,0.013983739837398375,0.06276422764227642,0.0016260162601626016
Florida,2024,0.8645831098908171,0.018919324738840386,0.0579055749801583,0.017954053068491387,0.003775284755142753,0.026775563611403076,0.010087088955147042
Georgia,2024,0.8581281811571622,0.021387763581593434,0.07330424846785083,0.012464942349641633,0.0027422873169211594,0.021429313389425574,0.010543263737405214
Hawaii,2024,0.8761948955916473,0.01419953596287703,0.03322505800464037,0.027749419953596286,0.008074245939675173,0.037122969837587005,0.0034338747099767982
Idaho,2024,0.8022431222652517,0.07101544032590655,0.06749484484232762,0.005532364331338329,0.0028164763868631496,0.025247699039380376,0.025650052808932254
Illinois,2024,0.852270919503659,0.016803213490295895,0.07544543429844099,0.012478125994272988,0.004016862869869552,0.03238347120585428,0.006601972637607381
Indiana,2024,0.842383094839768,0.025159582243734466,0.09264703493754771,0.0056198937742621856,0.002485097536017672,0.021927331200155928,0.009777965468513977
Iowa,2024,0.8200859635617141,0.03380805748011291,0.10469591993841416,0.0037528868360277136,0.0023415447780343853,0.021041827046445985,0.014273800359250705
Kansas,2024,0.8301055669476722,0.033264980633401685,0.095200121515911,0.005506189716716033,0.002506265664160401,0.021910837700311384,0.011506037821827296
