state,year,annual_mwh_avoided,cumulative_mwh_avoided,annual_mt_co2_avoided,cumulative_mt_co2_avoided
SC,2026,337964.43818911037,337964.43818911037,,
SC,2027,334427.4288752628,672391.8670643731,,
SC,2028,331463.6352774565,1003855.5023418296,,
SC,2029,330526.141685119,1334381.6440269486,,
SC,2030,331853.5129852506,1666235.1570121993,1998088.66999745,3664323.827009649
SC,2031,333126.1784522933,1999361.3354644924,,
SC,2032,337645.48463166424,2337006.8200961566,,
SC,2033,346922.57822537725,2683929.3983215336,,
SC,2034,355172.05808123027,3039101.4564027637,,
SC,2035,364214.7145933798,3403316.1709961435,,
SC,2036,373906.44126684155,3777222.612262985,,
SC,2037,376950.27641006093,4154172.888673046,,
SC,2038,377945.8727221994,4532118.761395246,,
SC,2039,378309.92366324697,4910428.685058493,,
SC,2040,377218.4354958567,5287647.12055435,,
Georgia,2026,381137.358405245,381137.358405245,,
Georgia,2027,376673.18251722615,757810.5409224711,,
Georgia,2028,373947.468102552,1131758.009025023,,
Georgia,2029,373353.8420091578,1505111.851034181,,
Georgia,2030,374421.7556731186,1879533.6067072996,269096.0,1350818.0
Georgia,2031,377876.0817060571,2257409.688413357,,
Georgia,2032,387655.3196589905,2645065.0080723474,,
Georgia,2033,399985.87673876766,3045050.884811115,,
Georgia,2034,411416.653886099,3456467.538697214,,
Georgia,2035,424757.5823656246,3881225.1210628385,,
Georgia,2036,439249.92633286666,4320475.047395705,,
Georgia,2037,444158.88280346856,4764633.930199174,,
Georgia,2038,445992.1736758875,5210626.1038750615,,
Georgia,2039,445731.47226156376,5656357.576136625,,
Georgia,2040,443367.7069576985,6099725.283094324,,
NC,2026,381201.7733098774,381201.7733098774,,
NC,2027,377189.8725975331,758391.6459074104,,
NC,2028,373875.94981825986,1132267.5957256702,,
NC,2029,372840.352622982,1505107.948348652,,
NC,2030,374317.33608182136,1879425.2844304736,2253742.620512295,4133167.9049427686
NC,2031,375847.9071422083,2255273.191572682,,
NC,2032,381165.91406148154,2636439.1056341636,,
NC,2033,391717.8585038278,3028156.9641379914,,
NC,2034,401122.92430345865,3429279.88844145,,
NC,2035,411470.47299354535,3840750.361434995,,
NC,2036,422569.8832018877,4263320.244636883,,
NC,2037,426072.65512101154,4689392.899757895,,
NC,2038,427229.08383601415,5116621.983593909,,
NC,2039,427608.096975007,5544230.080568916,,
NC,2040,426323.6189876043,5970553.69955652,,
AL,2026,132418.63434273732,132418.63434273732,,
