state,year,annual_mmbtu_avoided,cumulative_mmbtu_avoided
SC,2026,369659.0,369659.1501010367
SC,2027,365792.0,735451.0
SC,2028,362792.0,1098243.0
SC,2029,361521.0,1459520.684810534
SC,2030,362975.0,1822495.0
SC,2031,364360.0,2187099.0
SC,2032,369288.0,2556387.0
SC,2033,379429.0,2935816.0
SC,2034,388445.0,3324261.0
SC,2035,398326.0,3722587.0
SC,2036,408914.9894393524,4131258.689982782
SC,2037,412239.5050413902,4543498.195024172
SC,2038,413326.17189779924,4956824.366921971
SC,2039,413726.5347055786,5370550.901627549
SC,2040,412536.3488920416,5783087.25051959
Georgia,2026,457993.4186513659,457993.4186513659
Georgia,2027,452465.9461282139,910459.3647795798
Georgia,2028,449402.19335850584,1359861.5581380855
Georgia,2029,448847.9445538382,1808709.5026919236
Georgia,2030,449983.9945883909,2258693.4972803146
Georgia,2031,454827.679928497,2713521.1772088115
Georgia,2032,468185.61342325434,3181706.790632066
Georgia,2033,483643.7012826182,3665350.491914684
Georgia,2034,498109.4745630783,4163459.9664777624
Georgia,2035,515219.0742685464,4678679.040746309
Georgia,2036,533856.1883028172,5212535.229049126
Georgia,2037,540261.5829210841,5752796.81197021
Georgia,2038,542708.3497873736,6295505.161757583
Georgia,2039,542164.7533552869,6837669.91511287
Georgia,2040,538935.6296120399,7376605.54472491
NC,2026,492627.00972882484,492627.00972882484
NC,2027,487161.2669830557,979788.2767118805
NC,2028,483243.4589281239,1463031.7356400043
NC,2029,482179.3951459194,1945211.1307859237
NC,2030,483834.33164207125,2429045.462427995
NC,2031,487006.5912679638,2916052.053695959
NC,2032,496648.85160755704,3412700.905303516
NC,2033,511390.2823782721,3924091.187681788
NC,2034,524802.8645550812,4448894.052236869
NC,2035,540034.1819098291,4988928.234146698
NC,2036,556485.2258657472,5545413.460012445
NC,2037,561885.0931740104,6107298.553186456
NC,2038,563799.8192852362,6671098.372471692
NC,2039,563892.564389359,7234990.936861051
NC,2040,561562.5473576997,7796553.484218751
AL,2026,170540.32867329317,170540.32867329317
AL,2027,169270.7684141001,339811.0970873933
AL,2028,168454.44672095397,508265.54380834725
AL,2029,168507.3465216594,676772.8903300066
AL,2030,169057.24311726948,845830.1334472761
AL,2031,169908.14187513324,1015738.2753224093
AL,2032,172216.22398575986,1187954.4993081691
AL,2033,175967.92010657836,1363922.4194147475
AL,2034,179107.49307959384,1543029.9124943414
AL,2035,183053.36107043078,1726083.2735647722
AL,2036,187355.94187124103,1913439.2154360132
AL,2037,188770.22075638,2102209.4361923933
AL,2038,189455.94397981727,2291665.3801722107
AL,2039,189755.70967294718,2481421.089845158
AL,2040,189196.60333111737,2670617.6931762756
Florida,2026,337736.51480925403,337736.51480925403
Florida,2027,333583.0361763177,671319.5509855717
Florida,2028,331424.12570368394,1002743.6766892556
Florida,2029,331090.87561155885,1333834.5523008145
Florida,2030,331858.7943363887,1665693.3466372034
Florida,2031,335759.3169904364,2001452.6636276399
Florida,2032,346372.0339431334,2347824.6975707733
Florida,2033,358075.36617465666,2705900.0637454297
Florida,2034,369089.11561971845,3074989.1793651483
Florida,2035,382217.8174373257,3457206.996802474
Florida,2036,396541.22249702836,3853748.219299502
Florida,2037,401505.0365062371,4255253.255805739
Florida,2038,403425.0025112624,4658678.258317001
Florida,2039,402914.8748293212,5061593.133146322
Florida,2040,400349.2320335266,5461942.365179849
VA,2026,330959.0324990713,330959.0324990713
VA,2027,327194.40450587403,658153.4370049454
VA,2028,324682.46908914426,982835.9060940896
VA,2029,324057.9301925497,1306893.8362866393
VA,2030,325086.17396416713,1631980.0102508063
VA,2031,327610.74250255374,1959590.7527533602
VA,2032,335000.9374313217,2294591.6901846817
VA,2033,345268.599047941,2639860.289232623
VA,2034,354693.9871302693,2994554.2763628922
VA,2035,365539.119616609,3360093.3959795013
VA,2036,377285.4097191864,3737378.8056986877
VA,2037,381200.79080353904,4118579.596502227
VA,2038,382625.5761405607,4501205.172642788
VA,2039,382557.1076108648,4883762.2802536525
VA,2040,380771.0390165742,5264533.319270227
LA,2026,110854.40536291059,110854.40536291059
LA,2027,109722.20042980733,220576.60579271792
LA,2028,108739.18285593597,329315.7886486539
LA,2029,108428.91463356695,437744.7032822209
LA,2030,108926.16628002262,546670.8695622435
