city,year,total_emissions_mt_co2e
Akron,2027,1351864.0805728303
Akron,2028,1301157.4011161793
Akron,2029,1306742.919063903
Akron,2030,1304105.1839871767
Akron,2031,1273840.7579655354
Akron,2032,1154734.5183227956
Akron,2033,1118995.4286364818
Akron,2034,1064191.6466269952
Akron,2035,1007178.0791145235
Akron,2036,946926.4190447596
Akron,2037,900943.8332177904
Akron,2038,836464.5021301741
Akron,2039,816411.288296639
Akron,2040,825291.4840319792
Akron,2041,832194.0812257851
Akron,2042,840917.5667960955
Akron,2043,850374.0219054711
Akron,2044,852618.1342398808
Akron,2045,843072.0994644908
Akron,2046,847639.5461926964
Akron,2047,788615.9417129422
Akron,2048,772861.2914633575
Akron,2049,762514.60380625
Akron,2050,761543.6065122887
Atlanta,2027,4306373.973213104
Atlanta,2028,4114875.3071381156
Atlanta,2029,3884359.0949561154
Atlanta,2030,3558250.33579821
Atlanta,2031,3365061.2587401867
Atlanta,2032,2689247.7431323426
Atlanta,2033,2462870.1360229542
Atlanta,2034,2400679.9846557323
Atlanta,2035,2319139.932822518
Atlanta,2036,2223375.0258861734
Atlanta,2037,2116713.2365790005
Atlanta,2038,2025717.552394084
Atlanta,2039,1951099.4757397952
Atlanta,2040,1907755.5393934795
Atlanta,2041,1921847.7941078611
Atlanta,2042,1861226.7790102395
Atlanta,2043,1767178.5009813919
Atlanta,2044,1750515.4317818566
Atlanta,2045,1734773.3010212616
Atlanta,2046,1706324.773495296
Atlanta,2047,1646102.053024317
Atlanta,2048,1627006.3170731955
Atlanta,2049,1643068.8898435459
Atlanta,2050,1643435.8807667329
Birmingham,2027,1906095.604985218
Birmingham,2028,1817767.352224867
Birmingham,2029,1709298.3090524625
Birmingham,2030,1558880.4706115474
Birmingham,2031,1467244.935323269
Birmingham,2032,1151571.6100755823
Birmingham,2033,1045608.6226734027
Birmingham,2034,1016189.3791874655
Birmingham,2035,977120.3431703155
Birmingham,2036,932265.4472559298
Birmingham,2037,880920.740393145
Birmingham,2038,838600.2379530643
Birmingham,2039,802017.129893294
Birmingham,2040,780859.4183051896
Birmingham,2041,785636.0621674983
Birmingham,2042,756567.1944380195
Birmingham,2043,711410.0028237908
Birmingham,2044,703535.878308897
Birmingham,2045,694920.2542218172
Birmingham,2046,680994.1620897474
Birmingham,2047,651243.4832538184
Birmingham,2048,641036.477648722
Birmingham,2049,647373.3297945935
Birmingham,2050,646653.3319889492
Buffalo,2027,1241044.6281164945
