city,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050
Akron,4035032.06730639,4015759.95923921,3988043.65761767,3962162.47990762,3938420.01696181,3917234.91687869,3885706.64010962,3857447.22829591,3832265.02119983,3808674.22593766,3785887.24645123,3766894.74166883,3750777.23395364,3735118.97367959,3721371.9402178,3710609.69618432,3696078.89273498,3681446.47304779,3668956.93423396,3660206.12678528,3653866.80235573,3648948.4313807,3646378.04204263,3646363.84259883,3647692.17847003,3651234.72782678,3657848.34278031
Atlanta,25199184.6053765,25054005.4826674,24873869.9022825,24724193.4923833,24597797.9410095,24488676.796062,24320729.2459381,24169133.82123,24031094.8144311,23900235.1239183,23786003.388673,23692240.5234575,23611486.6393612,23540875.6796839,23486585.0024982,23447765.9759949,23376960.353419,23325796.818752,23290097.5743131,23274922.9939626,23269058.7563078,23276239.6574703,23295966.8193076,23329619.8885404,23374785.7831057,23436849.5489482,23517677.2821745
Birmingham,10617776.7343903,10584153.2094897,10534526.7908049,10488471.0915471,10448726.0248476,10411789.1648568,10356023.1337248,10306939.2196338,10262970.7423356,10220092.8464495,10181515.2994155,10150684.0958813,10126676.6195281,10108496.6284833,10093875.2030811,10075357.6297623,10036035.7177644,10002227.6588151,9982049.87795263,9975251.79500341,9973771.84308327,9973284.48524322,9972616.01604596,9968943.99553882,9971210.39954034,9983515.11138612,10003162.1598613
Buffalo,6633787.17135347,6564749.72494786,6484281.49360671,6411936.75944867,6342705.57192251,6283350.83598203,6201082.9304701,6123970.84180504,6045820.71757392,5972826.78216001,5905643.42440891,5844976.05637217,5788016.13836208,5733248.99342304,5682957.32516007,5638039.49435723,5585999.77303234,5534118.48671474,5485931.86078992,5438383.90685926,5394339.53851668,5358820.35491533,5331225.98352602,5309744.9541244,5294255.30669941,5283715.82874098,5278950.94270541
Charlotte,23804211.0505908,23661362.0715613,23486024.0422468,23343286.3100574,23222091.6186212,23117444.453941,22957201.9464151,22811686.7592935,22682440.398974,22557839.078557,22449767.8313281,22361538.1059909,22282725.138618,22213823.8573266,22159093.1045261,22120750.4557507,22051847.4088423,22003792.0186235,21968486.6233988,21952943.8818777,21946118.1200578,21950543.3899878,21968156.1633621,21998423.8328064,22040540.8293622,22098329.7427914,22174196.5037962
Chattanooga,7395280,7381000,7366720,7352440,7338160,7323880,7309600,7295320,7281040,7266760,7252480,7238200,7223920,7209640,7195360,7181080,7166800,7152520,7138240,7123960,7109680,7095400,7081120,7066840,7052560,7038280,7024000
Cincinnati,9151440,9119000,9086560,9054120,9021680,8989240,8956800,8924360,8891920,8859480,8827040,8794600,8762160,8729720,8697280,8664840,8632400,8599960,8567520,8535080,8502640,8470200,8437760,8405320,8372880,8340440,8308000
Cleveland,11506840,11466000,11425160,11384320,11343480,11302640,11261800,11220960,11180120,11139280,11098440,11057600,11016760,10975920,10935080,10894240,10853400,10812560,10771720,10730880,10690040,10649200,10608360,10567520,10526680,10485840,10445000
Columbus,18003130.1202292,17918024.1768299,17795351.8913492,17680416.2656157,17574225.7080528,17479309.7784575,17338439.8546078,17212227.2505007,17099458.8853768,16993798.2872111,16891663.5427027,16806593.0880632,16734563.1328344,16664836.7366198,16603633.9932518,16555998.6504213,16491267.3153706,16425744.8154544,16369866.6721895,16330838.5388492,16302545.6561656,16280773.2963393,16269171.7436438,16268952.5762415,16274706.1688278,16290236.9166566,16319474.0827416
Dayton,4053862.57667702,4036350.19164402,4010479.33402087,3985613.70184459,3961480.25619645,3939674.93693182,3907807.64504968,3879344.18168933,3853478.56680474,3829224.47865146,3805674.8145799,3786167.31965067,3769907.87856935,3754533.81873668,3741066.76082758,3731011.5868444,3716686.72252032,3701691.16186685,3688987.22121876,3680319.66101672,3674032.87900294,3669468.88716404,3666758.93262844,3666580.89041327,3667723.63978811,3670925.79813615,3677223.58460295
Hampton,1738249.66623955,1727948.69333444,1715272.55428002,1705034.2262378,1696368.79685745,1688917.05555799,1677390.18974604,1666906.7812861,1657666.58254092,1648718.78080741,1641000.43713105,1634754.55215939,1629134.69549447,1624242.98682141,1620342.67454748,1617673.04652124,1612746.11517875,1609406.99894878,1606947.68554941,1605949.28069671,1605588.73206145,1606012.98327042,1607442.06058389,1609773.22335467,1613002.96630651,1617369.27221083,1623076.65370609
Jackson,7333367.14426355,7312805.54991546,7281362.3668841,7251886.63626852,7227261.27594771,7204123.08425388,7167735.23449765,7135734.80085977,7107277.73634125,7079414.90108498,7054445.19193804,7034731.08606588,7019464.71809575,7008116.66881001,6999091.99946811,6987297.06320465,6961053.5976869,6938743.7597477,6925701.66947463,6921837.73340798,6921576.13847109,6921899.0763293,6922162.31997215,6920308.33716233,6922539.27003241,6931729.55108247,6945965.4512836
Kansas City,20288070.9720196,20247786.217651,20173751.0564955,20104301.1143877,20042624.2342897,19984829.324134,19882110.0372619,19788344.5448184,19704262.0139735,19628456.9981331,19561709.5556147,19507971.7221506,19467579.4390361,19434136.4159963,19410863.34087,19390403.7058391,19346741.9646061,19321394.4917407,19308676.9660237,19309079.5910883,19315356.9305718,19326278.7365946,19343249.5032952,19375422.2162248,19417654.1476242,19471798.1943267,19539803.4261311
Lansing,2775840,2766000,2756160,2746320,2736480,2726640,2716800,2706960,2697120,2687280,2677440,2667600,2657760,2647920,2638080,2628240,2618400,2608560,2598720,2588880,2579040,2569200,2559360,2549520,2539680,2529840,2520000
Memphis,24823442.365118,24745329.9221381,24629727.7689632,24522141.933795,24429104.43256,24342601.9426091,24212283.2097281,24097677.7694311,23994788.6509661,23894547.2413864,23804256.4706591,23732093.3776145,23676077.7897912,23633704.4027332,23599716.1655288,23556588.4092302,23464747.7322018,23385575.5783393,23338403.8336112,23322559.303151,23319179.3104103,23318176.049293,23316611.6938909,23308005.4099789,23313273.9171092,23341975.4850474,23387860.3100747
Montgomery,6099360,6086000,6072640,6059280,6045920,6032560,6019200,6005840,5992480,5979120,5965760,5952400,5939040,5925680,5912320,5898960,5885600,5872240,5858880,5845520,5832160,5818800,5805440,5792080,5778720,5765360,5752000
Nashville,23121667.8431954,23049313.5768207,22941971.0586723,22841787.6366704,22754965.7466549,22674205.1037424,22552826.469635,22446171.1647681,22350203.8331251,22256796.3495918,22172562.7529291,22105231.8243564,22053124.0344151,22013741.2071906,21982230.9969701,21942180.757407,21856690.6366286,21782794.1140343,21738829.4778859,21724088.0027232,21720986.2317482,21720151.4221324,21718666.574374,21710605.1852194,21715459.5886194,21742107.2637367,21784776.5338284
Newport News,2750080,2743000,2735920,2728840,2721760,2714680,2707600,2700520,2693440,2686360,2679280,2672200,2665120,2658040,2650960,2643880,2636800,2629720,2622640,2615560,2608480,2601400,2594320,2587240,2580160,2573080,2566000
Oakland,5622372.59322357,5538686.48143156,5453482.37283092,5379988.5966703,5319711.86951421,5270469.08290034,5198289.58483026,5132488.13171439,5073801.31786099,5022817.5996546,4979576.65715275,4941415.83697223,4902643.70201698,4867668.49223224,4840130.83469241,4819186.96305804,4798477.40112772,4781365.27903648,4767140.02211642,4760374.07362645,4759304.69251848,4762471.48591602,4769777.32895529,4783556.02054239,4802332.91062527,4826895.04334767,4858208.3267948
Philadelphia,23623584.7901174,23377381.2348422,23090274.0077893,22832444.5823131,22586040.053332,22374830.0953449,22081908.377498,21807331.4878241,21529197.2873687,21269379.6266051,21030288.1536671,20814324.2612182,20611494.5494161,20416342.0065658,20237153.8425648,20076985.0284985,19891652.1342419,19706990.7649638,19535439.6535031,19366103.4107176,19209234.5003016,19082655.9116864,18984416.3277391,18907987.9406796,18852839.8027114,18815426.4233826,18798550.6999928
Pittsburgh,9207560,9136000,9064440,8992880,8921320,8849760,8778200,8706640,8635080,8563520,8491960,8420400,8348840,8277280,8205720,8134160,8062600,7991040,7919480,7847920,7776360,7704800,7633240,7561680,7490120,7418560,7347000
Raleigh,11012271.7635462,10943143.9992419,10859334.1930518,10791337.8414024,10733426.168114,10683306.7051422,10607509.7350856,10538434.1965628,10477320.7034982,10418165.4712244,10366856.3600291,10324890.9177437,10287035.66162,10253859.2557807,10227109.7902919,10208145.7780875,10175058.139201,10151900.8883079,10134472.9399073,10126270.811443,10122134.2575,10123100.3087251,10130324.2764938,10143341.2203741,10161952.9340269,10187783.9906128,10222025.5841083
Rochester,5405316.55495461,5349077.63765737,5283532.48686544,5224592.78382339,5168176.80970299,5119807.40378363,5052772.51859204,4989939.28657855,4926254.78074205,4866773.39354761,4812025.21842469,4762589.37997828,4716177.11734966,4671556.72460696,4630581.97222117,4593990.51937259,4551588.27444119,4509310.91150683,4470045.85465098,4431303.53420872,4395416.35639338,4366478.33430611,4343992.94602833,4326487.19870416,4313865.5112886,4305273.11226818,4301386.97407061
Savannah,4486799.69817117,4462181.70775721,4431043.62082285,4403772.85926016,4380613.24954001,4360441.67096951,4330170.35289429,4303481.94667729,4278310.20541708,4255199.69735413,4234603.33677371,4217227.15867654,4203007.08507769,4190471.6564857,4181422.86648035,4174680.39833527,4162514.35025377,4153022.94845685,4146883.47911579,4144144.57243735,4143014.60161291,4144606.32516356,4147983.04454649,4154107.15187281,4161956.71624129,4172922.54472076,4187038.17582823
St. Louis,12853968.4968181,12829328.0955837,12783231.7890863,12739392.9518905,12700652.2795261,12664319.1053277,12599569.2942917,12540565.379427,12487061.60803,12439275.4124714,12397028.0352403,12362795.1842927,12337520.8242748,12316362.5550994,12301984.2889154,12289007.7929696,12261571.2419869,12245396.6982012,12237479.5916511,12237746.8590353,12241770.7993906,12248818.2795511,12259570.0389567,12280024.0868502,12306756.9606321,12341077.8036114,12384134.9393891
