city,year,electricity_emissions_mt_co2
Akron,2026,867531.0751842482
Atlanta,2026,3522109.7270246698
Birmingham,2026,1640526.214889431
Buffalo,2026,165574.12594951226
Charlotte,2026,3248052.837033173
Chattanooga,2026,1415690.77446063
Cincinnati,2026,1844993.8237818894
Cleveland,2026,2134791.915011593
Columbus,2026,3850352.154166732
Dayton,2026,833275.793780274
Hampton,2026,272925.2507344185
Jackson,2026,1225698.8459007272
Kansas City,2026,3555003.724109998
Lansing,2026,513927.0087759432
Memphis,2026,4757635.62083917
Montgomery,2026,1064011.5498355133
Nashville,2026,4559640.721146824
Newport News,2026,518072.9485618317
Oakland,2026,407764.9078632195
Philadelphia,2026,4230721.404109749
Pittsburgh,2026,1749429.1191527161
Raleigh,2026,1486391.6613935018
Rochester,2026,143667.02813373355
Savannah,2026,744995.2648773405
St. Louis,2026,2877565.378611887
Akron,2027,764951.3429871101
Akron,2028,719802.1593081852
Akron,2029,729756.7843255766
Akron,2030,730962.2984440628
Akron,2031,704927.5187157006
Akron,2032,590648.7345985781
Akron,2033,559966.952445287
Akron,2034,508864.6113340357
Akron,2035,456013.3689456404
Akron,2036,399638.27856529295
Akron,2037,357124.0407230122
Akron,2038,296598.6455418077
Akron,2039,278616.7424845712
Akron,2040,290344.48924873443
Akron,2041,301333.1905491775
Akron,2042,311881.1357088437
Akron,2043,325259.9099513009
Akron,2044,330266.73777429445
Akron,2045,322899.28243039973
Akron,2046,331824.7966777412
Akron,2047,274586.1639504741
Akron,2048,261255.2877204173
Akron,2049,254361.8711501211
Akron,2050,255290.22033916347
Atlanta,2027,3421553.5278316336
Atlanta,2028,3234474.29462667
Atlanta,2029,3006706.7961949473
Atlanta,2030,2684147.804595661
Atlanta,2031,2492573.0993215954
Atlanta,2032,1820458.6441963124
Atlanta,2033,1596867.3897947257
Atlanta,2034,1537200.3029911155
Atlanta,2035,1457724.208216508
Atlanta,2036,1364764.85498881
Atlanta,2037,1259566.5386426277
Atlanta,2038,1170914.1000998125
Atlanta,2039,1097117.0475728265
Atlanta,2040,1056027.059004563
Atlanta,2041,1070381.6784516517
Atlanta,2042,1011392.2574533066
Atlanta,2043,917585.1526382604
Atlanta,2044,901621.2334173924
Atlanta,2045,885618.0726172392
Atlanta,2046,856910.7928372554
Atlanta,2047,795865.1586903712
Atlanta,2048,776984.1991747342
Atlanta,2049,793158.528696115
Atlanta,2050,793791.1829247138
Birmingham,2027,1594850.8193779946
Birmingham,2028,1508785.5925633968
Birmingham,2029,1402449.8330442351
Birmingham,2030,1253737.3427750843
Birmingham,2031,1164174.906617609
Birmingham,2032,850748.3836834285
Birmingham,2033,746781.1313558616
Birmingham,2034,719286.1789505017
Birmingham,2035,682045.7871226324
Birmingham,2036,638978.6770861507
Birmingham,2037,589635.0551668863
Birmingham,2038,548685.5253773977
Birmingham,2039,513520.3851649723
Birmingham,2040,493709.8761992313
Birmingham,2041,499538.0756628806
Birmingham,2042,471711.120377182
Birmingham,2043,427712.69775986264
Birmingham,2044,420576.1867723182
Birmingham,2045,412829.7096526417
Birmingham,2046,399320.3584439405
Birmingham,2047,370108.4984041374
Birmingham,2048,360637.7995334002
Birmingham,2049,367619.5023011892
Birmingham,2050,367460.4914869441
Buffalo,2027,171865.76218424746
Buffalo,2028,160952.76153167593
Buffalo,2029,151238.54843980886
Buffalo,2030,156139.67040738382
Buffalo,2031,134380.85325727833
Buffalo,2032,130792.15498709696
Buffalo,2033,128186.44603467413
Buffalo,2034,123972.91454254289
Buffalo,2035,124896.41659112777
Buffalo,2036,119171.94979464242
Buffalo,2037,115877.32550224924
Buffalo,2038,116378.4303395363
Buffalo,2039,116319.87622517244
Buffalo,2040,110341.99941484704
Buffalo,2041,108293.5002025738
Buffalo,2042,104275.4623503468
Buffalo,2043,119161.325325625
Buffalo,2044,115687.262590698
Buffalo,2045,115099.6109009733
Buffalo,2046,114367.238617852
Buffalo,2047,112541.91503077067
Buffalo,2048,111172.95418650928
Buffalo,2049,108497.1920286648
Buffalo,2050,109476.70138903482
Charlotte,2027,2979098.5736241345
Charlotte,2028,2799041.566931254
Charlotte,2029,2639581.288280074
Charlotte,2030,2532587.1683704704
Charlotte,2031,2182456.946507122
Charlotte,2032,1228026.8846146932
Charlotte,2033,957796.955436892
Charlotte,2034,852912.6871127599
Charlotte,2035,756552.2410957189
Charlotte,2036,778512.335211644
Charlotte,2037,563083.5324015912
Charlotte,2038,599169.5287397199
Charlotte,2039,496898.3353532835
Charlotte,2040,400224.2095616213
Charlotte,2041,425560.4693775144
Charlotte,2042,421411.4561838096
Charlotte,2043,400130.9937183769
Charlotte,2044,341569.77622684604
Charlotte,2045,306657.8959646947
Charlotte,2046,280124.62242047186
Charlotte,2047,338651.09829916287
Charlotte,2048,344025.7006158804
Charlotte,2049,295134.53412230726
Charlotte,2050,373377.78899206506
Chattanooga,2027,1185059.8302139246
Chattanooga,2028,1132873.6320126357
Chattanooga,2029,1022497.0223253078
Chattanooga,2030,1022824.1015867896
Chattanooga,2031,968700.661445612
Chattanooga,2032,455533.0197545083
Chattanooga,2033,425593.1565053104
Chattanooga,2034,353133.7346837184
Chattanooga,2035,329221.92833158537
Chattanooga,2036,295122.2541390993
Chattanooga,2037,246388.92577585188
Chattanooga,2038,225030.18064474783
Chattanooga,2039,157453.98500505683
Chattanooga,2040,159231.84309206402
Chattanooga,2041,163710.639312435
Chattanooga,2042,164643.59732095108
Chattanooga,2043,158829.5493153368
Chattanooga,2044,158498.37154658255
Chattanooga,2045,154988.35700751477
Chattanooga,2046,156854.4030531618
Chattanooga,2047,152767.1956900776
Chattanooga,2048,157486.16381371347
Chattanooga,2049,159939.22873861284
Chattanooga,2050,168405.22284712686
Cincinnati,2027,1632415.2165007554
Cincinnati,2028,1540440.221139914
Cincinnati,2029,1564041.2863140358
Cincinnati,2030,1571051.2204210495
Cincinnati,2031,1519716.119568414
Cincinnati,2032,1276765.3960704491
Cincinnati,2033,1213356.8389611207
Cincinnati,2034,1103638.8710928834
Cincinnati,2035,989758.9851294096
Cincinnati,2036,867351.0577061235
Cincinnati,2037,774905.9850107199
Cincinnati,2038,643604.2174663857
Cincinnati,2039,602993.4955594222
Cincinnati,2040,627680.4413364078
Cincinnati,2041,652078.2593817553
Cincinnati,2042,673504.2725443292
Cincinnati,2043,702020.3403527578
Cincinnati,2044,711115.1728280076
Cincinnati,2045,693150.5590858335
Cincinnati,2046,711842.2829021129
Cincinnati,2047,586568.4407990257
Cincinnati,2048,555858.5439299496
Cincinnati,2049,539476.0204820221
Cincinnati,2050,538429.7630944692
Cleveland,2027,1887950.0418700865
Cleveland,2028,1780750.4126081257
Cleveland,2029,1807190.192555736
Cleveland,2030,1814439.6758413156
Cleveland,2031,1754325.9700154902
Cleveland,2032,1473172.639281239
Cleveland,2033,1399345.2580574104
Cleveland,2034,1272202.3595997766
Cleveland,2035,1140382.6425857402
Cleveland,2036,998865.5963315596
Cleveland,2037,891971.9740838942
Cleveland,2038,740474.6133745542
Cleveland,2039,693413.1273175202
Cleveland,2040,721448.2788193277
Cleveland,2041,749121.9590350506
Cleveland,2042,773354.0858585403
Cleveland,2043,805697.3985252654
Cleveland,2044,815728.1597717172
Cleveland,2045,794722.1763601187
Cleveland,2046,815741.9058218964
Cleveland,2047,671843.1743553043
Cleveland,2048,636345.1019639215
Cleveland,2049,617275.0757394307
