city,census_population,total_daily_vmt_thousands,city_proper_population,scalar,total_annual_vmt
Akron,541879,14019.04219,189664,0.3500117184832776,1790992.6026701871
Atlanta,5100112,150424.03257,520070,0.10197227041288505,5598764.245926004
Birmingham,774956,32529.88185,196357,0.25337825631390687,3008463.1305563985
Buffalo,948864,20974.33527,276617,0.29152439127208957,2231803.567502066
Charlotte,1379873,47065.98595,943476,0.683741184877159,11746047.845315622
Chattanooga,398569,12913.35717,191496,0.4804588415054859,2264582.868433337
Cincinnati,1686744,43723.97855,314915,0.18669993786846137,2979591.3887061323
Cleveland,1712178,40537.55143,365379,0.213400125454246,3157512.2746810312
Columbus,1567254,38659.85359,933263,0.5954765468775323,8402678.183275921
Dayton,674046,17735.93197,136346,0.2022799630885726,1309482.6374450577
Hampton,89585,3143.53019,63953,0.7138806719874979,819098.4872243182
Jackson,347693,13319.24407,141449,0.40682153508986374,1977772.691359797
Kansas City,1674218,48079.03818,516032,0.3082227045701336,5408953.681054165
Lansing,318300,7336.12022,114336,0.35920829406220545,961846.2586804297
Memphis,1056190,27506.58005,610919,0.5784177089349454,5807256.949802187
Montgomery,254348,9456.55987,195818,0.7698822086275496,2657359.5775380023
Nashville,1158642,46986.57221,704963,0.6084390174014062,10434789.296677105
Newport News,89585,3143.53019,183056,2.04337779762237,2344548.225686595
Oakland,538583,11056.83093,443554,0.8235573718442654,3323666.1368975723
Pittsburgh,1745039,32045.08733,307668,0.17631009965966377,2062203.477375549
Philadelphia,5696125,108819.30952,1573916,0.2763134587109658,10974907.522623768
Raleigh,1106646,37570.30794,499825,0.45165753095389133,6193653.070295589
Rochester,704327,16140.29355,207282,0.2942979610323046,1733770.251013168
Savannah,309466,10131.82987,148808,0.4808541164457485,1778255.2165428847
St. Louis,2156323,66019.86222,279695,0.12970923187296152,3125635.750173957
