city,year,ng_commercial_mmbtu
Akron,2027,4467530.92235056
Akron,2028,4432445.94247883
Akron,2029,4400475.09476143
Akron,2030,4370347.01775916
Akron,2031,4344109.30784495
Akron,2032,4315192.02136857
Akron,2033,4284907.31467365
Akron,2034,4257259.37795263
Akron,2035,4232571.78105805
Akron,2036,4209037.80246601
Akron,2037,4186346.42562128
Akron,2038,4166533.10397144
Akron,2039,4148405.56594273
Akron,2040,4130238.30269017
Akron,2041,4113792.74474105
Akron,2042,4097660.83017688
Akron,2043,4081259.64224989
Akron,2044,4065804.73962849
Akron,2045,4050869.11575718
Akron,2046,4038220.44720651
Akron,2047,4026433.01525402
Akron,2048,4013985.72426495
Akron,2049,3999762.15257121
Akron,2050,3986755.47717318
Atlanta,2027,8917278.67593087
Atlanta,2028,8865471.95267042
Atlanta,2029,8820185.70331517
Atlanta,2030,8775390.01337964
Atlanta,2031,8737661.6815052
Atlanta,2032,8694591.03625905
Atlanta,2033,8649237.12893607
Atlanta,2034,8608406.04493064
Atlanta,2035,8571255.08723719
Atlanta,2036,8536909.81193991
Atlanta,2037,8503028.74875168
Atlanta,2038,8475338.12020044
Atlanta,2039,8451490.3914859
Atlanta,2040,8426678.71817015
Atlanta,2041,8408633.92102377
Atlanta,2042,8392768.46428062
Atlanta,2043,8379425.34342904
Atlanta,2044,8371273.87550322
Atlanta,2045,8369298.99372433
Atlanta,2046,8378118.9616188
Atlanta,2047,8387981.65152572
Atlanta,2048,8396573.00422798
Atlanta,2049,8400000.41311418
Atlanta,2050,8406736.29788997
Birmingham,2027,3245943.84154989
Birmingham,2028,3228831.28289215
Birmingham,2029,3213680.10030975
Birmingham,2030,3200001.46404918
Birmingham,2031,3187962.82579593
Birmingham,2032,3173471.99508015
Birmingham,2033,3157557.56196607
Birmingham,2034,3143030.06239203
Birmingham,2035,3131304.60247237
Birmingham,2036,3119902.35559242
Birmingham,2037,3108542.43828951
Birmingham,2038,3099768.24877481
Birmingham,2039,3092720.95765803
Birmingham,2040,3085782.59956012
Birmingham,2041,3080195.86232917
Birmingham,2042,3074878.39849967
