city,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050
Akron,4623230.64865483,4557857.73930045,4507064.23716806,4467530.92235056,4432445.94247883,4400475.09476143,4370347.01775916,4344109.30784495,4315192.02136857,4284907.31467365,4257259.37795263,4232571.78105805,4209037.80246601,4186346.42562128,4166533.10397144,4148405.56594273,4130238.30269017,4113792.74474105,4097660.83017688,4081259.64224989,4065804.73962849,4050869.11575718,4038220.44720651,4026433.01525402,4013985.72426495,3999762.15257121,3986755.47717318
Atlanta,9176140.15630655,9062038.17794359,8976601.76175254,8917278.67593087,8865471.95267042,8820185.70331517,8775390.01337964,8737661.6815052,8694591.03625905,8649237.12893607,8608406.04493064,8571255.08723719,8536909.81193991,8503028.74875168,8475338.12020044,8451490.3914859,8426678.71817015,8408633.92102377,8392768.46428062,8379425.34342904,8371273.87550322,8369298.99372433,8378118.9616188,8387981.65152572,8396573.00422798,8400000.41311418,8406736.29788997
Birmingham,3327861.36085333,3292620.63458848,3265274.46404683,3245943.84154989,3228831.28289215,3213680.10030975,3200001.46404918,3187962.82579593,3173471.99508015,3157557.56196607,3143030.06239203,3131304.60247237,3119902.35559242,3108542.43828951,3099768.24877481,3092720.95765803,3085782.59956012,3080195.86232917,3074878.39849967,3069947.4272614,3066935.59248587,3066112.14740216,3068943.28334165,3072745.09441439,3076332.6701572,3078790.73711486,3082686.51826723
Buffalo,9157585.92352106,9083810.01032985,9053743.75531227,9051861.78214634,9062242.49709961,9078381.68501147,9100217.7967093,9130949.22580268,9162592.21732285,9194746.37776531,9235611.40595751,9284112.3322626,9339366.36991315,9396798.33156731,9462469.08424213,9532679.29485653,9601982.14919965,9675605.07668112,9751894.49591282,9832895.48576718,9918373.30612876,10002628.276291,10089351.5292514,10177983.5282256,10264355.1966664,10344064.9332182,10422153.574962
Charlotte,9185465.34323566,9069279.37002148,8981880.01980247,8921947.53536342,8869291.95877433,8823227.59815029,8777698.56336647,8739055.48829186,8696455.11992693,8650762.593113,8609871.57335583,8572803.15297138,8537404.85086402,8502597.56385276,8473539.51022628,8449049.7976885,8423476.28563372,8405556.13163204,8389093.6829222,8375281.38224925,8366616.76662286,8363722.85402228,8372146.37296022,8381447.09881995,8389868.41865742,8393032.19302765,8399640.87597966
Chattanooga,4285800,4276000,4266200,4256400,4246600,4236800,4227000,4217200,4207400,4197600,4187800,4178000,4168200,4158400,4148600,4138800,4129000,4119200,4109400,4099600,4089800,4080000,4070200,4060400,4050600,4040800,4031000
Cincinnati,9560600,9513000,9465400,9417800,9370200,9322600,9275000,9227400,9179800,9132200,9084600,9037000,8989400,8941800,8894200,8846600,8799000,8751400,8703800,8656200,8608600,8561000,8513400,8465800,8418200,8370600,8323000
Cleveland,10506360,10454000,10401640,10349280,10296920,10244560,10192200,10139840,10087480,10035120,9982760,9930400,9878040,9825680,9773320,9720960,9668600,9616240,9563880,9511520,9459160,9406800,9354440,9302080,9249720,9197360,9145000
Columbus,19769074.7200365,19490603.766904,19274584.8677855,19106186.3670584,18955889.6509934,18818754.5658254,18689727.5152134,18577417.6468937,18453320.2142081,18323383.4599249,18204653.6541963,18098736.101957,17997993.7979435,17901141.9862224,17816590.9844121,17739528.7006248,17661976.9745104,17591406.6431068,17522271.003978,17452173.0296875,17386093.7035256,17322435.4922579,17268215.6837166,17217654.0569685,17164252.60073,17103145.0970518,17047248.986641
Dayton,3962733.18249331,3908490.83886354,3866850.36134061,3834049.61670681,3803699.09178056,3775787.80462042,3749784.68217444,3727230.94535509,3701900.81128377,3675408.97239254,3651080.01585321,3629509.09573161,3609271.33373915,3590161.48873848,3573505.50813471,3558686.82382863,3543374.64202367,3528997.40452226,3515019.87032161,3501075.38578772,3487900.47482528,3475449.11823413,3464478.96600447,3454211.98818711,3443352.51010846,3430814.67092958,3419331.28976601
Hampton,640579.394996949,632524.454994625,626475.838065439,622363.634731938,618758.718702323,615615.321326491,612504.446650104,609862.388160797,606964.238122003,603833.111329802,601044.954470942,598531.723978001,596112.194272043,593735.122163922,591743.077926031,590081.776367134,588336.541280465,587148.893633543,586043.809250882,585129.379586997,584574.565886839,584408.937898315,585048.63915344,585740.943316913,586383.186100377,586654.042103899,587171.946171426
Jackson,2844600.34670562,2815492.83609933,2793191.2557946,2777549.27146487,2763987.26280839,2751928.6057922,2741047.49866537,2731482.98246996,2719818.04095138,2706871.39213274,2695079.83408481,2685647.77146317,2676385.73950322,2667112.73441477,2660002.7172395,2654347.90486196,2648779.14417999,2644412.66720637,2640207.44336926,2636294.34066256,2633995.61389082,2633536.8221748,2636241.87223469,2639769.16728285,2643098.89624075,2645454.55349471,2649025.56232106
Kansas City,530934.785944353,524404.030158266,518676.693043434,514014.500483805,509859.964311109,506086.66576508,502471.429219874,499214.217535443,495641.208708373,491851.447063245,488269.365298778,485002.061780788,481930.910573886,478913.846255533,476283.149952813,473918.630185711,471549.013418176,469418.376319981,467360.299860081,465278.630201664,463389.370214066,461612.106967146,460220.056820442,458800.875909382,457345.088441033,455626.748332667,454097.258691103
Lansing,6114480,6084000,6053520,6023040,5992560,5962080,5931600,5901120,5870640,5840160,5809680,5779200,5748720,5718240,5687760,5657280,5626800,5596320,5565840,5535360,5504880,5474400,5443920,5413440,5382960,5352480,5322000
Memphis,10302327.7490535,10193426.5127815,10108932.511179,10049116.1585215,9996082.0900404,9949108.18950611,9906778.48390042,9869563.79100728,9824657.27404405,9775384.23291386,9730362.6278295,9694023.02368357,9658764.01695836,9623643.38172947,9596554.59382135,9574799.79095726,9553353.18806693,9535999.8018664,9519534.51135104,9504284.40395364,9494988.41756094,9492490.57914395,9501250.80753004,9513008.32921072,9524098.74527995,9531677.1576162,9543713.53834324
