city,year,ng_commercial_mt_co2e
Akron,2027,237047.19073992074
Akron,2028,235185.58170792673
Akron,2029,233489.2085280415
Akron,2030,231890.61276230105
Akron,2031,230498.43987425306
Akron,2032,228964.08865381632
Akron,2033,227357.1821165839
Akron,2034,225890.18259416654
Akron,2035,224580.25870294013
Akron,2036,223331.5457988465
Akron,2037,222127.54134346513
Akron,2038,221076.2464967246
Akron,2039,220114.39932892125
Akron,2040,219150.44434074042
Akron,2041,218277.84303596013
Akron,2042,217421.88364918527
Akron,2043,216551.63661777918
Akron,2044,215731.5994846877
Akron,2045,214939.11528207597
Akron,2046,214267.97692877744
Akron,2047,213642.53578937834
Akron,2048,212982.08252949826
Akron,2049,212227.37981542843
Akron,2050,211537.24561880893
Atlanta,2027,473150.806544892
Atlanta,2028,470401.94180869247
Atlanta,2029,467999.05341790296
Atlanta,2030,465622.1941099238
Atlanta,2031,463620.3288206659
Atlanta,2032,461335.0003839052
Atlanta,2033,458928.52206134785
Atlanta,2034,456762.02474401984
Atlanta,2035,454790.7949288054
Atlanta,2036,452968.43462153163
Atlanta,2037,451170.70540876413
Atlanta,2038,449701.4406578354
Atlanta,2039,448436.08017224184
Atlanta,2040,447119.5727861081
Atlanta,2041,446162.11584952124
Atlanta,2042,445320.2947147297
Atlanta,2043,444612.30872234487
Atlanta,2044,444179.79183420085
Atlanta,2045,444075.004607013
Atlanta,2046,444542.99210349354
Atlanta,2047,445066.3064299547
Atlanta,2048,445522.1636043366
Atlanta,2049,445704.02191983844
Atlanta,2050,446061.42796604184
Birmingham,2027,172229.7802326372
Birmingham,2028,171321.78787025748
Birmingham,2029,170517.86612243534
Birmingham,2030,169792.0776824495
Birmingham,2031,169153.30753673206
Birmingham,2032,168384.42405895278
Birmingham,2033,167540.0042379197
Birmingham,2034,166769.17511052112
Birmingham,2035,166147.02220718397
Birmingham,2036,165542.0189877338
Birmingham,2037,164939.2617756414
Birmingham,2038,164473.70327999143
Birmingham,2039,164099.7740133351
Birmingham,2040,163731.62473265998
Birmingham,2041,163435.19245518578
Birmingham,2042,163153.0478243925
Birmingham,2043,162891.41049048988
Birmingham,2044,162731.60253730026
Birmingham,2045,162687.9105411586
Birmingham,2046,162838.13061410794
Birmingham,2047,163039.85470962754
Birmingham,2048,163230.21147854105
Birmingham,2049,163360.6365113145
Birmingham,2050,163567.34665925923
Buffalo,2027,480291.78616068483
Buffalo,2028,480842.5868961053
Buffalo,2029,481698.93220670865
Buffalo,2030,482857.55629339546
Buffalo,2031,484488.1659210902
Buffalo,2032,486167.1430511505
Buffalo,2033,487873.2428042274
Buffalo,2034,490041.54120010557
Buffalo,2035,492615.0003498536
Buffalo,2036,495546.77958759177
Buffalo,2037,498594.11947296147
Buffalo,2038,502078.6096098874
Buffalo,2039,505803.9633850875
Buffalo,2040,509481.17283653346
Buffalo,2041,513387.6053687003
Buffalo,2042,517435.5219531343
Buffalo,2043,521733.4344748066
Buffalo,2044,526268.887623192
Buffalo,2045,530739.4563400005
Buffalo,2046,535340.9921420793
Buffalo,2047,540043.8060076504
Buffalo,2048,544626.6867351192
Buffalo,2049,548856.0853565577
Buffalo,2050,552999.4686874837
Charlotte,2027,473398.5362263831
Charlotte,2028,470604.631332566
Charlotte,2029,468160.4563578544
Charlotte,2030,465744.68577222497
Charlotte,2031,463694.2842087661
Charlotte,2032,461433.9086633229
Charlotte,2033,459009.46319057577
Charlotte,2034,456839.78568226035
Charlotte,2035,454872.9352966614
Charlotte,2036,452994.7013868449
Charlotte,2037,451147.82673802745
Charlotte,2038,449606.0064126064
Charlotte,2039,448306.5822653518
Charlotte,2040,446949.65171572525
Charlotte,2041,445998.808344396
Charlotte,2042,445125.3108158519
Charlotte,2043,444392.43014214525
Charlotte,2044,443932.685637009
Charlotte,2045,443779.1346344222
Charlotte,2046,444226.0865492693
Charlotte,2047,444719.58306338656
Charlotte,2048,445166.4182939627
Charlotte,2049,445334.2881620471
Charlotte,2050,445684.9448794808
Chattanooga,2027,225844.584
Chattanooga,2028,225324.59600000002
Chattanooga,2029,224804.608
Chattanooga,2030,224284.62000000002
Chattanooga,2031,223764.632
Chattanooga,2032,223244.644
Chattanooga,2033,222724.65600000002
Chattanooga,2034,222204.668
Chattanooga,2035,221684.68000000002
Chattanooga,2036,221164.692
Chattanooga,2037,220644.704
Chattanooga,2038,220124.71600000001
Chattanooga,2039,219604.728
Chattanooga,2040,219084.74000000002
Chattanooga,2041,218564.752
Chattanooga,2042,218044.76400000002
Chattanooga,2043,217524.776
Chattanooga,2044,217004.788
Chattanooga,2045,216484.80000000002
Chattanooga,2046,215964.812
Chattanooga,2047,215444.82400000002
Chattanooga,2048,214924.836
Chattanooga,2049,214404.848
Chattanooga,2050,213884.86000000002
Cincinnati,2027,499708.46800000005
Cincinnati,2028,497182.81200000003
Cincinnati,2029,494657.156
Cincinnati,2030,492131.5
Cincinnati,2031,489605.84400000004
Cincinnati,2032,487080.188
Cincinnati,2033,484554.532
Cincinnati,2034,482028.87600000005
Cincinnati,2035,479503.22000000003
Cincinnati,2036,476977.564
Cincinnati,2037,474451.90800000005
Cincinnati,2038,471926.25200000004
Cincinnati,2039,469400.596
Cincinnati,2040,466874.94
Cincinnati,2041,464349.28400000004
Cincinnati,2042,461823.628
Cincinnati,2043,459297.972
Cincinnati,2044,456772.31600000005
Cincinnati,2045,454246.66000000003
Cincinnati,2046,451721.004
Cincinnati,2047,449195.348
Cincinnati,2048,446669.69200000004
Cincinnati,2049,444144.036
Cincinnati,2050,441618.38
Cleveland,2027,549132.7968
Cleveland,2028,546354.5752000001
Cleveland,2029,543576.3536
Cleveland,2030,540798.132
Cleveland,2031,538019.9104
Cleveland,2032,535241.6888
Cleveland,2033,532463.4672000001
Cleveland,2034,529685.2456
Cleveland,2035,526907.024
Cleveland,2036,524128.80240000004
Cleveland,2037,521350.58080000005
Cleveland,2038,518572.3592
Cleveland,2039,515794.1376
Cleveland,2040,513015.916
Cleveland,2041,510237.69440000004
Cleveland,2042,507459.47280000005
Cleveland,2043,504681.25120000006
Cleveland,2044,501903.0296
Cleveland,2045,499124.808
Cleveland,2046,496346.58640000003
Cleveland,2047,493568.36480000004
Cleveland,2048,490790.14320000005
Cleveland,2049,488011.9216
Cleveland,2050,485233.7
Columbus,2027,1013774.2486361187
Columbus,2028,1005799.5048817098
Columbus,2029,998523.1172626957
Columbus,2030,991676.9419572231
Columbus,2031,985717.7803441797
Columbus,2032,979133.1705658819
Columbus,2033,972238.7263836152
Columbus,2034,965938.9228916557
Columbus,2035,960318.9375698385
Columbus,2036,954973.5509188821
Columbus,2037,949834.5937889607
Columbus,2038,945348.3176329061
Columbus,2039,941259.392855152
Columbus,2040,937144.498267522
Columbus,2041,933400.0364832468
Columbus,2042,929731.6994710726
Columbus,2043,926012.3009552188
Columbus,2044,922506.1319090683
Columbus,2045,919128.4272192043
Columbus,2046,916251.5241780028
Columbus,2047,913568.7242627486
Columbus,2048,910735.2429947337
Columbus,2049,907492.8788495685
Columbus,2050,904527.0312311716
Dayton,2027,203434.67266246336
Dayton,2028,201824.27380987653
Dayton,2029,200343.3009131595
Dayton,2030,198963.5752361758
Dayton,2031,197766.87396054107
Dayton,2032,196422.85704671685
Dayton,2033,195017.20007514817
Dayton,2034,193726.30564117132
Dayton,2035,192581.75261951925
Dayton,2036,191507.9369681993
Dayton,2037,190493.96859246376
Dayton,2038,189610.20226162774
Dayton,2039,188823.92287234712
Dayton,2040,188011.45850577595
Dayton,2041,187248.60228395113
Dayton,2042,186506.95431926462
Dayton,2043,185767.05996989642
Dayton,2044,185067.99919422934
Dayton,2045,184407.33021350295
Dayton,2046,183825.25393619717
Dayton,2047,183280.48809320806
Dayton,2048,182704.2841863549
Dayton,2049,182039.02643952353
Dayton,2050,181429.7182349845
Hampton,2027,33022.61445887663
Hampton,2028,32831.33761434526
Hampton,2029,32664.548949583612
Hampton,2030,32499.485939254522
Hampton,2031,32359.298315811888
Hampton,2032,32205.52247475348
Hampton,2033,32039.384887159293
Hampton,2034,31891.445284228186
Hampton,2035,31758.09327427274
Hampton,2036,31629.713028074602
Hampton,2037,31503.5855820177
Hampton,2038,31397.887714755205
Hampton,2039,31309.73905404013
Hampton,2040,31217.136880341473
Hampton,2041,31154.120296195797
Hampton,2042,31095.4845188518
Hampton,2043,31046.964880886062
Hampton,2044,31017.526465955678
Hampton,2045,31008.738244884596
Hampton,2046,31042.68079348153
Hampton,2047,31079.414452395406
Hampton,2048,31113.491854486005
Hampton,2049,31127.863474032878
Hampton,2050,31155.343463855865
Jackson,2027,147376.764343926
Jackson,2028,146657.16416461318
Jackson,2029,146017.33182333416
Jackson,2030,145439.98027918453
Jackson,2031,144932.48704985608
Jackson,2032,144313.54525288023
Jackson,2033,143626.5960665632
Jackson,2034,143000.93599654004
Jackson,2035,142500.4707538358
Jackson,2036,142009.02733804088
Jackson,2037,141517.0016880477
Jackson,2038,141139.74417672787
