city,year,ng_emissions_mt_co2e
Akron,2027,586912.7375857201
Akron,2028,581355.241807994
Akron,2029,576986.1347383264
Akron,2030,573142.8855431138
Akron,2031,568913.2392498347
Akron,2032,564085.7837242174
Akron,2033,559028.4761911947
Akron,2034,555327.0352929594
Akron,2035,551164.7101688832
Akron,2036,547288.1404794665
Akron,2037,543819.792494778
Akron,2038,539865.8565883663
Akron,2039,537794.5458120678
Akron,2040,534946.9947832447
Akron,2041,530860.8906766076
Akron,2042,529036.4310872518
Akron,2043,525114.1119541703
Akron,2044,522351.3964655864
Akron,2045,520172.8170340911
Akron,2046,515814.7495149552
Akron,2047,514029.7777624681
Akron,2048,511606.0037429402
Akron,2049,508152.7326561288
Akron,2050,506253.38617312524
Atlanta,2027,884820.44538147
Atlanta,2028,880401.0125114454
Atlanta,2029,877652.2987611678
Atlanta,2030,874102.5312025493
Atlanta,2031,872488.1594185908
Atlanta,2032,868789.0989360304
Atlanta,2033,866002.7462282288
Atlanta,2034,863479.6816646163
Atlanta,2035,861415.7246060101
Atlanta,2036,858610.1708973635
Atlanta,2037,857146.6979363728
Atlanta,2038,854803.4522942717
Atlanta,2039,853982.4281669692
Atlanta,2040,851728.4803889168
Atlanta,2041,851466.1156562092
Atlanta,2042,849834.521556933
Atlanta,2043,849593.3483431314
Atlanta,2044,848894.1983644641
Atlanta,2045,849155.2284040223
Atlanta,2046,849413.9806580406
Atlanta,2047,850236.8943339457
Atlanta,2048,850022.1178984613
Atlanta,2049,849910.3611474307
Atlanta,2050,849644.6978420189
Birmingham,2027,311244.7856072235
Birmingham,2028,308981.7596614704
Birmingham,2029,306848.4760082273
Birmingham,2030,305143.1278364628
Birmingham,2031,303070.0287056597
Birmingham,2032,300823.2263921539
Birmingham,2033,298827.4913175411
Birmingham,2034,296903.20023696375
Birmingham,2035,295074.55604768306
Birmingham,2036,293286.7701697791
Birmingham,2037,291285.68522625876
Birmingham,2038,289914.7125756665
Birmingham,2039,288496.7447283217
Birmingham,2040,287149.54210595833
Birmingham,2041,286097.9865046176
Birmingham,2042,284856.0740608375
Birmingham,2043,283697.30506392824
Birmingham,2044,282959.6915365788
Birmingham,2045,282090.54456917563
Birmingham,2046,281673.80364580697
Birmingham,2047,281134.984849681
Birmingham,2048,280398.67811532173
Birmingham,2049,279753.8274934044
Birmingham,2050,279192.8405020052
Buffalo,2027,1069178.865932247
Buffalo,2028,1066438.5960213668
Buffalo,2029,1064988.007943816
Buffalo,2030,1062691.762352866
Buffalo,2031,1062095.099601851
Buffalo,2032,1060793.344024172
Buffalo,2033,1059657.6277774512
Buffalo,2034,1059609.8257398722
Buffalo,2035,1059433.376201977
Buffalo,2036,1059431.835657075
Buffalo,2037,1060147.3793285303
Buffalo,2038,1060314.7837852335
Buffalo,2039,1061519.528072769
Buffalo,2040,1063384.1228821888
Buffalo,2041,1064402.2007556034
Buffalo,2042,1066139.868563647
Buffalo,2043,1068847.6834603641
Buffalo,2044,1070687.3786530343
Buffalo,2045,1072910.6534353197
Buffalo,2046,1075363.7317684656
Buffalo,2047,1077630.8241524165
Buffalo,2048,1079871.7407316216
Buffalo,2049,1081373.0905028488
Buffalo,2050,1083031.7883315803
Charlotte,2027,912625.1062130892
Charlotte,2028,909155.4871305146
Charlotte,2029,906038.4669773047
Charlotte,2030,902625.3995725777
Charlotte,2031,900930.7960512158
Charlotte,2032,898208.5714949814
Charlotte,2033,894973.9762343514
Charlotte,2034,892701.6696523846
Charlotte,2035,890841.1630462569
Charlotte,2036,888851.1927135611
Charlotte,2037,886357.3147068655
Charlotte,2038,885409.3733885818
Charlotte,2039,884257.6659711632
Charlotte,2040,882622.85882994
Charlotte,2041,881301.4370537102
Charlotte,2042,880611.9815090175
Charlotte,2043,880441.6084993805
Charlotte,2044,880020.7378517821
Charlotte,2045,880172.4572156742
Charlotte,2046,880862.5707414999
Charlotte,2047,881680.3225418681
Charlotte,2048,881679.719849166
Charlotte,2049,881436.160803536
Charlotte,2050,881724.1768227882
Chattanooga,2027,271225.7408
Chattanooga,2028,270368.29120000004
Chattanooga,2029,269510.8416
Chattanooga,2030,268653.39200000005
Chattanooga,2031,267795.9424
Chattanooga,2032,266938.4928
Chattanooga,2033,266081.0432
Chattanooga,2034,265223.5936
Chattanooga,2035,264366.14400000003
Chattanooga,2036,263508.69440000004
Chattanooga,2037,262651.2448
Chattanooga,2038,261793.79520000002
Chattanooga,2039,260936.3456
Chattanooga,2040,260078.896
Chattanooga,2041,259221.44640000002
Chattanooga,2042,258363.99680000002
Chattanooga,2043,257506.54720000003
Chattanooga,2044,256649.0976
Chattanooga,2045,255791.64800000002
Chattanooga,2046,254934.1984
Chattanooga,2047,254076.74880000003
Chattanooga,2048,253219.2992
Chattanooga,2049,252361.84960000002
Chattanooga,2050,251504.40000000002
Cincinnati,2027,837713.4024
Cincinnati,2028,832806.4136000001
Cincinnati,2029,827899.4248
Cincinnati,2030,822992.436
Cincinnati,2031,818085.4472
Cincinnati,2032,813178.4584000001
Cincinnati,2033,808271.4696
Cincinnati,2034,803364.4808
Cincinnati,2035,798457.4920000001
