city,year,ng_residential_mmbtu
Akron,2027,6593772.08529588
Akron,2028,6524117.22766806
Akron,2029,6473745.31116255
Akron,2030,6431441.25105188
Akron,2031,6377964.55664496
Akron,2032,6315900.77403696
Akron,2033,6250872.48538656
Akron,2034,6208760.88765158
Akron,2035,6155002.85461634
Akron,2036,6105476.71844365
Akron,2037,6062801.5671186
Akron,2038,6008096.68472751
Akron,2039,5987187.08034577
Akron,2040,5951687.72036382
Akron,2041,5891124.15455423
Akron,2042,5872871.22951501
Akron,2043,5815350.08172618
Akron,2044,5778737.22165282
Akron,2045,5752614.05488155
Akron,2046,5683128.01707836
Akron,2047,5661274.82045024
Akron,2048,5628042.23922808
Akron,2049,5577183.43084622
Akron,2050,5554393.90415221
Atlanta,2027,7758568.39119069
Atlanta,2028,7727083.88056451
Atlanta,2029,7720566.25222889
Atlanta,2030,7698460.93276716
Atlanta,2031,7705763.86351159
Atlanta,2032,7679119.83701706
Atlanta,2033,7671960.50069508
Atlanta,2034,7665240.42443642
Atlanta,2035,7663492.83221268
Atlanta,2036,7644962.99049815
Atlanta,2037,7651262.58061833
Atlanta,2038,7634791.02217181
Atlanta,2039,7643165.24679094
Atlanta,2040,7625497.69323047
Atlanta,2041,7638597.81015243
Atlanta,2042,7623713.28387115
Atlanta,2043,7632511.11234049
Atlanta,2044,7627485.98813161
Atlanta,2045,7634380.395722
Atlanta,2046,7630437.02515166
Atlanta,2047,7636083.45088562
Atlanta,2048,7623444.29502685
Atlanta,2049,7617910.65261199
Atlanta,2050,7606167.92076851
Birmingham,2027,2619958.63879733
Birmingham,2028,2594420.87808543
Birmingham,2029,2569366.94093087
Birmingham,2030,2550905.5814929
Birmingham,2031,2523873.37295378
Birmingham,2032,2496019.6444252
Birmingham,2033,2474321.27929931
Birmingham,2034,2452582.45620887
Birmingham,2035,2429844.2110912
Birmingham,2036,2407552.79272607
Birmingham,2037,2381199.08500975
Birmingham,2038,2364135.11676734
Birmingham,2039,2344458.55097977
Birmingham,2040,2326006.73526759
Birmingham,2041,2311775.23651398
Birmingham,2042,2293686.8872304
Birmingham,2043,2276779.01570747
Birmingham,2044,2265889.35166375
Birmingham,2045,2250332.34127435
Birmingham,2046,2239647.06052957
Birmingham,2047,2225690.35318608
Birmingham,2048,2208225.90721411
Birmingham,2049,2193614.60576875
Birmingham,2050,2179146.1334856
Buffalo,2027,11098512.6229092
Buffalo,2028,11036487.1678338
Buffalo,2029,10993009.3429534
Buffalo,2030,10927896.8348939
Buffalo,2031,10885920.3482993
Buffalo,2032,10829743.7047309
Buffalo,2033,10776185.16723
Buffalo,2034,10734419.2336933
Buffalo,2035,10682592.8355093
Buffalo,2036,10627309.7638425
Buffalo,2037,10583363.3595094
Buffalo,2038,10520847.6097879
Buffalo,2039,10473342.7193306
Buffalo,2040,10439181.1165785
