year,total_emissions_mt_co2,gasoline_emissions_mt_co2,diesel_emissions_mt_co2,ethanol_emissions_mt_co2,electricity_emissions_mt_co2
2027,1603108.6910768675,1458616.65871219,46670.97256331769,84815.88466395719,13005.175137402488
2028,1539102.1430715837,1399232.2477049027,46229.32779857776,79443.75391814254,14196.813649960823
2029,1506549.9665316714,1371419.4536867046,45790.76565680007,74256.52007465667,15083.227113509978
2030,1455393.219742279,1324802.6747307158,45521.858226181925,69400.75677960648,15667.93000577491
2031,1408367.275946535,1281376.1136711994,45150.212527832955,64970.41283931492,16870.536908187703
2032,1355844.0604569844,1235664.8710574708,44821.61861681854,61009.74515596377,14347.825626731295
2033,1339843.91634235,1223482.5107074135,44541.75888119873,57349.94783776497,14469.698915972825
2034,1290575.3868787491,1176417.34072357,44430.13684011837,53693.37843173103,16034.530883329742
2035,1250086.09034508,1137750.325591034,44467.76842357633,50346.34537344702,17521.650957022583
2036,1212714.8061151672,1101922.8100618862,44650.99123811578,47238.23062140839,18902.774193756646
2037,1178157.3424067858,1068696.811090143,44996.02594986191,44361.222321289635,20103.283045491433
2038,1146626.0536880575,1037881.1807433078,45521.02572321184,41685.31150925497,21538.5357122828
2039,1116665.3132764355,1008009.5048901521,46246.99980917047,39181.26418722025,23227.5443898927
2040,1090463.9103799688,980621.0118288299,47213.605293593224,36850.55395699448,25778.73930055103
2041,1057216.6299704844,943712.2569762823,48436.56893229425,34675.061878959656,30392.742182948128
2042,1035772.663365919,920150.9933497972,49947.36959107759,32645.75704395393,33028.54338109027
2043,1015569.9412189333,898573.3306266309,51788.059738539145,30752.713318706643,34455.83753505669
2044,1003134.6174814223,881128.1528148773,54011.26931545427,28945.574804907854,39049.62054618272
2045,989780.7733605944,861766.2441624306,56641.249506597094,27305.282496443866,44067.997195122865
2046,980367.8679640513,845810.4437663165,59748.16820285451,25747.42333262229,49061.832662258064
2047,970492.0936784521,830444.5414856472,63406.10153362523,24328.974694154156,52312.47596502551
2048,968065.7802681645,818683.5535917145,67714.57656038871,22989.769153196536,58677.8809628648
2049,972433.9222240329,809179.155946105,72764.14590604485,21735.21273481268,68755.40763707038
2050,979497.3678617041,801377.9416395796,78636.41761084032,20563.358068544716,78919.6505427394
