city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Akron,2027,1351864.0805728305,764951.3429871101,586912.7375857201,1603108.6910768675,2954972.771649698,0.0,0.0,0.0
Akron,2028,1301157.4011161793,719802.1593081852,581355.241807994,1539102.1430715837,2840259.544187763,50706.67945665121,64006.54800528381,114713.22746193502
Akron,2029,1306742.919063903,729756.7843255766,576986.1347383264,1506549.9665316714,2813292.885595574,45121.16150892759,96558.72454519616,141679.88605412375
Akron,2030,1304105.1839871767,730962.2984440628,573142.8855431138,1455393.219742279,2759498.4037294555,47758.89658565377,147715.47133458848,195474.36792024225
Akron,2031,1273840.7579655354,704927.5187157006,568913.2392498347,1408367.275946535,2682208.03391207,78023.32260729512,194741.41513033258,272764.7377376277
Akron,2032,1154734.5183227956,590648.7345985781,564085.7837242174,1355844.0604569844,2510578.5787797803,197129.56225003488,247264.63061988307,444394.1928699175
Akron,2033,1118995.4286364818,559966.952445287,559028.4761911947,1339843.91634235,2458839.3449788317,232868.65193634876,263264.77473451756,496133.4266708661
Akron,2034,1064191.6466269952,508864.6113340357,555327.0352929594,1290575.3868787491,2354767.0335057443,287672.43394583534,312533.3041981184,600205.7381439535
Akron,2035,1007178.0791145236,456013.3689456404,551164.7101688832,1250086.09034508,2257264.1694596037,344686.0014583069,353022.6007317875,697708.6021900941
Akron,2036,946926.4190447596,399638.27856529295,547288.1404794665,1212714.8061151672,2159641.225159927,404937.6615280709,390393.8849617003,795331.546489771
Akron,2037,900943.8332177904,357124.0407230122,543819.792494778,1178157.3424067858,2079101.1756245762,450920.24735504016,424951.3486700817,875871.5960251216
Akron,2038,836464.5021301741,296598.6455418077,539865.8565883663,1146626.0536880577,1983090.5558182318,515399.57844265644,456482.6373888098,971882.215831466
Akron,2039,816411.288296639,278616.7424845712,537794.5458120678,1116665.3132764357,1933076.6015730747,535452.7922761915,486443.3778004318,1021896.1700766231
Akron,2040,825291.4840319792,290344.48924873443,534946.9947832447,1090463.9103799688,1915755.394411948,526572.5965408513,512644.7806968987,1039217.3772377498
Akron,2041,832194.0812257851,301333.1905491775,530860.8906766076,1057216.6299704844,1889410.7111962694,519669.99934704544,545892.0611063831,1065562.0604534284
Akron,2042,840917.5667960955,311881.1357088437,529036.4310872518,1035772.663365919,1876690.2301620145,510946.51377673505,567336.0277109485,1078282.5414876833
Akron,2043,850374.0219054711,325259.9099513009,525114.1119541703,1015569.9412189332,1865943.9631244042,501490.0586673594,587538.7498579343,1089028.8085252936
Akron,2044,852618.1342398808,330266.73777429445,522351.3964655864,1003134.6174814224,1855752.7517213032,499245.9463329497,599974.0735954451,1099220.0199283946
Akron,2045,843072.0994644908,322899.28243039973,520172.8170340911,989780.7733605944,1832852.8728250852,508791.98110833974,613327.9177162731,1122119.8988246126
Akron,2046,847639.5461926964,331824.7966777412,515814.7495149552,980367.8679640512,1828007.4141567475,504224.5343801341,622740.8231128163,1126965.3574929503
Akron,2047,788615.9417129422,274586.1639504741,514029.7777624681,970492.093678452,1759108.035391394,563248.1388598883,632616.5973984156,1195864.7362583037
Akron,2048,772861.2914633575,261255.2877204173,511606.0037429402,968065.7802681644,1740927.0717315217,579002.789109473,635042.9108087032,1214045.699918176
Akron,2049,762514.60380625,254361.8711501211,508152.7326561288,972433.9222240328,1734948.526030283,589349.4767665805,630674.7688528347,1220024.2456194148
Akron,2050,761543.6065122887,255290.22033916347,506253.3861731253,979497.367861704,1741040.9743739925,590320.4740605418,623611.3232151635,1213931.7972757053
