city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Atlanta,2027,4306373.973213104,3421553.5278316336,884820.44538147,1829547.1438702024,6135921.1170833055,0.0,0.0,0.0
Atlanta,2028,4114875.307138115,3234474.29462667,880401.0125114454,1822259.8620955148,5937135.1692336295,191498.66607498843,7287.281774687581,198785.947849676
Atlanta,2029,3884359.0949561154,3006706.7961949473,877652.2987611678,1849843.0053718712,5734202.100327986,422014.87825698825,-20295.861501668813,401719.0167553192
Atlanta,2030,3558250.33579821,2684147.804595661,874102.5312025493,1853350.206328413,5411600.542126623,748123.6374148936,-23803.062458210625,724320.5749566825
Atlanta,2031,3365061.2587401867,2492573.0993215954,872488.1594185908,1858612.790708506,5223674.049448693,941312.7144729169,-29065.646838303655,912247.0676346123
Atlanta,2032,2689247.7431323426,1820458.6441963124,868789.0989360304,1856292.1854475352,4545539.928579878,1617126.230080761,-26745.041577332886,1590381.1885034274
Atlanta,2033,2462870.1360229542,1596867.3897947257,866002.7462282288,1900127.2907560985,4362997.426779052,1843503.8371901494,-70580.1468858961,1772923.6903042533
Atlanta,2034,2400679.9846557323,1537200.3029911155,863479.6816646163,1894050.7854982829,4294730.770154015,1905693.9885573713,-64503.64162808051,1841190.3469292903
Atlanta,2035,2319139.932822518,1457724.208216508,861415.7246060101,1897015.3910831907,4216155.323905708,1987234.0403905855,-67468.24721298832,1919765.7931775972
Atlanta,2036,2223375.025886174,1364764.85498881,858610.1708973635,1901507.453203928,4124882.479090102,2082998.9473269298,-71960.3093337256,2011038.6379932035
Atlanta,2037,2116713.2365790005,1259566.5386426277,857146.6979363728,1907258.3514286769,4023971.5880076773,2189660.736634103,-77711.2075584745,2111949.529075628
Atlanta,2038,2025717.552394084,1170914.1000998125,854803.4522942717,1914241.8038837481,3939959.356277832,2280656.42081902,-84694.66001354577,2195961.7608054737
Atlanta,2039,1951099.4757397952,1097117.0475728265,853982.4281669692,1920207.7891381448,3871307.26487794,2355274.4974733084,-90660.64526794245,2264613.8522053654
Atlanta,2040,1907755.5393934797,1056027.059004563,851728.4803889168,1927797.6467070228,3835553.1861005025,2398618.4338196237,-98250.50283682044,2300367.930982803
Atlanta,2041,1921847.7941078611,1070381.6784516517,851466.1156562092,1913267.5912003561,3835115.3853082173,2384526.1791052427,-83720.44733015378,2300805.7317750882
Atlanta,2042,1861226.7790102395,1011392.2574533066,849834.521556933,1920978.3556207663,3782205.134631006,2445147.194202864,-91431.21175056393,2353715.9824522994
Atlanta,2043,1767178.500981392,917585.1526382604,849593.3483431314,1929258.644626553,3696437.145607945,2539195.4722317113,-99711.50075635058,2439483.9714753604
Atlanta,2044,1750515.4317818566,901621.2334173924,848894.1983644641,1942624.9688723525,3693140.400654209,2555858.5414312473,-113077.82500215014,2442780.7164290966
Atlanta,2045,1734773.3010212616,885618.0726172392,849155.2284040223,1948742.3825875644,3683515.6836088262,2571600.672191842,-119195.23871736205,2452405.4334744792
Atlanta,2046,1706324.773495296,856910.7928372554,849413.9806580406,1958052.100061931,3664376.8735572267,2600049.1997178076,-128504.95619172859,2471544.2435260788
Atlanta,2047,1646102.053024317,795865.1586903712,850236.8943339457,1964644.6921375615,3610746.7451618784,2660271.9201887865,-135097.54826735915,2525174.371921427
Atlanta,2048,1627006.3170731957,776984.1991747342,850022.1178984613,1975274.1650473457,3602280.4821205414,2679367.656139908,-145727.02117714332,2533640.634962764
Atlanta,2049,1643068.889843546,793158.528696115,849910.3611474307,1986739.1101817999,3629808.000025346,2663305.0833695577,-157191.9663115975,2506113.1170579595
Atlanta,2050,1643435.8807667329,793791.1829247138,849644.6978420189,1996804.2454297598,3640240.1261964925,2662938.092446371,-167257.1015595575,2495680.990886813
