city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Birmingham,2027,1906095.604985218,1594850.8193779946,311244.7856072235,1603108.6910768675,3509204.296062086,0.0,0.0,0.0
Birmingham,2028,1817767.352224867,1508785.5925633968,308981.7596614704,1539102.1430715837,3356869.495296451,88328.25276035094,64006.54800528381,152334.80076563498
Birmingham,2029,1709298.3090524625,1402449.8330442351,306848.4760082273,1506549.9665316714,3215848.275584134,196797.29593275557,96558.72454519616,293356.02047795197
Birmingham,2030,1558880.4706115474,1253737.3427750843,305143.1278364628,1455393.219742279,3014273.6903538266,347215.1343736707,147715.47133458848,494930.60570825916
Birmingham,2031,1467244.935323269,1164174.906617609,303070.0287056597,1408367.275946535,2875612.2112698043,438850.6696619489,194741.41513033258,633592.0847922815
Birmingham,2032,1151571.6100755823,850748.3836834285,300823.2263921539,1355844.0604569844,2507415.6705325665,754523.9949096357,247264.63061988307,1001788.6255295193
Birmingham,2033,1045608.6226734028,746781.1313558616,298827.4913175411,1339843.91634235,2385452.5390157527,860486.9823118153,263264.77473451756,1123751.757046333
Birmingham,2034,1016189.3791874656,719286.1789505017,296903.20023696375,1290575.3868787491,2306764.766066215,889906.2257977524,312533.3041981184,1202439.5299958708
Birmingham,2035,977120.3431703156,682045.7871226324,295074.55604768306,1250086.09034508,2227206.4335153955,928975.2618149024,353022.6007317875,1281997.8625466903
Birmingham,2036,932265.4472559298,638978.6770861507,293286.7701697791,1212714.8061151672,2144980.253371097,973830.1577292882,390393.8849617003,1364224.0426909886
Birmingham,2037,880920.740393145,589635.0551668863,291285.68522625876,1178157.3424067858,2059078.0827999308,1025174.864592073,424951.3486700817,1450126.213262155
Birmingham,2038,838600.2379530643,548685.5253773977,289914.7125756665,1146626.0536880577,1985226.291641122,1067495.3670321538,456482.6373888098,1523978.0044209638
Birmingham,2039,802017.129893294,513520.3851649723,288496.7447283217,1116665.3132764357,1918682.4431697298,1104078.475091924,486443.3778004318,1590521.852892356
Birmingham,2040,780859.4183051896,493709.8761992313,287149.54210595833,1090463.9103799688,1871323.3286851584,1125236.1866800284,512644.7806968987,1637880.9673769274
Birmingham,2041,785636.0621674983,499538.0756628806,286097.9865046176,1057216.6299704844,1842852.6921379827,1120459.5428177197,545892.0611063831,1666351.603924103
Birmingham,2042,756567.1944380195,471711.120377182,284856.0740608375,1035772.663365919,1792339.8578039384,1149528.4105471985,567336.0277109485,1716864.4382581473
Birmingham,2043,711410.0028237908,427712.69775986264,283697.30506392824,1015569.9412189332,1726979.944042724,1194685.6021614273,587538.7498579343,1782224.3520193617
Birmingham,2044,703535.878308897,420576.1867723182,282959.6915365788,1003134.6174814224,1706670.4957903195,1202559.7266763211,599974.0735954451,1802533.8002717663
Birmingham,2045,694920.2542218172,412829.7096526417,282090.54456917563,989780.7733605944,1684701.0275824117,1211175.3507634008,613327.9177162731,1824503.2684796741
Birmingham,2046,680994.1620897474,399320.3584439405,281673.80364580697,980367.8679640512,1661362.0300537986,1225101.4428954707,622740.8231128163,1847842.2660082872
Birmingham,2047,651243.4832538184,370108.4984041374,281134.984849681,970492.093678452,1621735.5769322703,1254852.1217313996,632616.5973984156,1887468.7191298155
Birmingham,2048,641036.477648722,360637.7995334002,280398.67811532173,968065.7802681644,1609102.2579168864,1265059.127336496,635042.9108087032,1900102.0381451994
Birmingham,2049,647373.3297945935,367619.5023011892,279753.8274934044,972433.9222240328,1619807.2520186263,1258722.2751906244,630674.7688528347,1889397.0440434595
Birmingham,2050,646653.3319889492,367460.4914869441,279192.8405020052,979497.367861704,1626150.6998506533,1259442.2729962687,623611.3232151635,1883053.5962114325
