city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Buffalo,2027,1241044.6281164945,171865.76218424746,1069178.865932247,1603108.6910768675,2844153.3191933623,0.0,0.0,0.0
Buffalo,2028,1227391.3575530427,160952.76153167593,1066438.5960213668,1539102.1430715837,2766493.5006246264,13653.270563451806,64006.54800528381,77659.81856873585
Buffalo,2029,1216226.5563836251,151238.54843980886,1064988.007943816,1506549.9665316714,2722776.5229152963,24818.07173286937,96558.72454519616,121376.796278066
Buffalo,2030,1218831.4327602498,156139.67040738382,1062691.762352866,1455393.219742279,2674224.652502529,22213.195356244687,147715.47133458848,169928.6666908334
Buffalo,2031,1196475.9528591295,134380.85325727833,1062095.099601851,1408367.275946535,2604843.2288056645,44568.67525736499,194741.41513033258,239310.0903876978
Buffalo,2032,1191585.499011269,130792.15498709696,1060793.344024172,1355844.0604569844,2547429.5594682535,49459.12910522544,247264.63061988307,296723.75972510874
Buffalo,2033,1187844.0738121253,128186.44603467413,1059657.6277774512,1339843.91634235,2527687.990154475,53200.55430436926,263264.77473451756,316465.3290388873
Buffalo,2034,1183582.740282415,123972.91454254289,1059609.8257398722,1290575.3868787491,2474158.127161164,57461.88783407956,312533.3041981184,369995.1920321984
Buffalo,2035,1184329.792793105,124896.41659112777,1059433.376201977,1250086.09034508,2434415.883138185,56714.83532338962,353022.6007317875,409737.43605517736
Buffalo,2036,1178603.7854517172,119171.94979464242,1059431.835657075,1212714.8061151672,2391318.5915668844,62440.8426647773,390393.8849617003,452834.72762647783
Buffalo,2037,1176024.7048307797,115877.32550224924,1060147.3793285305,1178157.3424067858,2354182.0472375657,65019.923285714816,424951.3486700817,489971.2719557965
Buffalo,2038,1176693.2141247697,116378.4303395363,1060314.7837852335,1146626.0536880577,2323319.2678128276,64351.41399172484,456482.6373888098,520834.05138053466
Buffalo,2039,1177839.4042979414,116319.87622517244,1061519.528072769,1116665.3132764357,2294504.717574377,63205.223818553146,486443.3778004318,549648.6016189852
Buffalo,2040,1173726.1222970358,110341.99941484704,1063384.1228821888,1090463.9103799688,2264190.0326770046,67318.50581945875,512644.7806968987,579963.2865163577
Buffalo,2041,1172695.7009581772,108293.5002025738,1064402.2007556034,1057216.6299704844,2229912.330928662,68348.9271583173,545892.0611063831,614240.9882647004
Buffalo,2042,1170415.3309139935,104275.4623503468,1066139.868563647,1035772.663365919,2206187.9942799127,70629.29720250098,567336.0277109485,637965.3249134496
Buffalo,2043,1188009.0087859891,119161.325325625,1068847.683460364,1015569.9412189332,2203578.950004922,53035.619330505375,587538.7498579343,640574.36918844
Buffalo,2044,1186374.6412437323,115687.262590698,1070687.3786530343,1003134.6174814224,2189509.2587251547,54669.98687276221,599974.0735954451,654644.0604682076
Buffalo,2045,1188010.264336293,115099.6109009733,1072910.6534353197,989780.7733605944,2177791.0376968877,53034.36378020141,613327.9177162731,666362.2814964745
Buffalo,2046,1189730.9703863177,114367.238617852,1075363.7317684656,980367.8679640512,2170098.8383503687,51313.65773017681,622740.8231128163,674054.4808429936
Buffalo,2047,1190172.7391831873,112541.91503077067,1077630.8241524163,970492.093678452,2160664.832861639,50871.88893330726,632616.5973984156,683488.4863317232
Buffalo,2048,1191044.6949181308,111172.95418650928,1079871.7407316216,968065.7802681644,2159110.475186295,49999.93319836375,635042.9108087032,685042.8440070674
Buffalo,2049,1189870.2825315138,108497.1920286648,1081373.0905028488,972433.9222240328,2162304.2047555465,51174.34558498068,630674.7688528347,681849.1144378157
Buffalo,2050,1192508.489720615,109476.70138903482,1083031.7883315803,979497.367861704,2172005.857582319,48536.13839587942,623611.3232151635,672147.4616110432
