city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Charlotte,2027,3891723.679837224,2979098.5736241345,912625.1062130892,1603108.6910768675,5494832.370914091,0.0,0.0,0.0
Charlotte,2028,3708197.054061769,2799041.566931254,909155.4871305146,1539102.1430715837,5247299.197133353,183526.62577545503,64006.54800528381,247533.17378073838
Charlotte,2029,3545619.755257379,2639581.288280074,906038.4669773048,1506549.9665316714,5052169.72178905,346103.9245798453,96558.72454519616,442662.64912504144
Charlotte,2030,3435212.5679430477,2532587.1683704704,902625.3995725776,1455393.219742279,4890605.787685327,456511.11189417634,147715.47133458848,604226.5832287641
Charlotte,2031,3083387.7425583377,2182456.946507122,900930.7960512158,1408367.275946535,4491755.018504873,808335.9372788863,194741.41513033258,1003077.3524092184
Charlotte,2032,2126235.456109674,1228026.8846146932,898208.5714949814,1355844.0604569844,3482079.5165666584,1765488.22372755,247264.63061988307,2012752.854347433
Charlotte,2033,1852770.9316712436,957796.955436892,894973.9762343514,1339843.91634235,3192614.848013594,2038952.7481659804,263264.77473451756,2302217.5229004975
Charlotte,2034,1745614.3567651445,852912.6871127599,892701.6696523846,1290575.3868787491,3036189.743643894,2146109.3230720796,312533.3041981184,2458642.6272701975
Charlotte,2035,1647393.4041419758,756552.2410957189,890841.1630462569,1250086.09034508,2897479.4944870556,2244330.2756952485,353022.6007317875,2597352.876427036
Charlotte,2036,1667363.5279252052,778512.335211644,888851.1927135611,1212714.8061151672,2880078.3340403726,2224360.1519120187,390393.8849617003,2614754.0368737187
Charlotte,2037,1449440.8471084563,563083.5324015912,886357.3147068655,1178157.3424067858,2627598.1895152424,2442282.832728768,424951.3486700817,2867234.181398849
Charlotte,2038,1484578.9021283016,599169.5287397199,885409.3733885818,1146626.0536880577,2631204.9558163593,2407144.7777089225,456482.6373888098,2863627.415097732
Charlotte,2039,1381156.0013244469,496898.3353532835,884257.6659711632,1116665.3132764357,2497821.3146008826,2510567.678512777,486443.3778004318,2997011.056313209
Charlotte,2040,1282847.068391561,400224.2095616213,882622.85882994,1090463.9103799688,2373310.97877153,2608876.611445663,512644.7806968987,3121521.3921425613
Charlotte,2041,1306861.906431225,425560.4693775144,881301.4370537102,1057216.6299704844,2364078.5364017095,2584861.773405999,545892.0611063831,3130753.834512382
Charlotte,2042,1302023.437692827,421411.4561838096,880611.9815090175,1035772.663365919,2337796.101058746,2589700.242144397,567336.0277109485,3157036.269855345
Charlotte,2043,1280572.6022177576,400130.9937183769,880441.6084993805,1015569.9412189332,2296142.5434366907,2611151.0776194665,587538.7498579343,3198689.8274774007
Charlotte,2044,1221590.5140786285,341569.77622684604,880020.7378517821,1003134.6174814224,2224725.131560051,2670133.165758596,599974.0735954451,3270107.2393540405
Charlotte,2045,1186830.353180369,306657.8959646947,880172.4572156742,989780.7733605944,2176611.1265409635,2704893.326656855,613327.9177162731,3318221.244373128
Charlotte,2046,1160987.193161972,280124.62242047186,880862.5707414999,980367.8679640512,2141355.0611260235,2730736.486675252,622740.8231128163,3353477.309788068
Charlotte,2047,1220331.420841031,338651.09829916287,881680.3225418681,970492.093678452,2190823.514519483,2671392.2589961933,632616.5973984156,3304008.8563946085
Charlotte,2048,1225705.4204650463,344025.7006158804,881679.719849166,968065.7802681644,2193771.200733211,2666018.2593721775,635042.9108087032,3301061.1701808805
Charlotte,2049,1176570.6949258433,295134.53412230726,881436.160803536,972433.9222240328,2149004.617149876,2715152.984911381,630674.7688528347,3345827.7537642154
Charlotte,2050,1255101.965814853,373377.78899206506,881724.1768227882,979497.367861704,2234599.333676557,2636621.714022371,623611.3232151635,3260233.0372375343
