city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Chattanooga,2027,1456285.571013925,1185059.8302139246,271225.7408,1603108.6910768675,3059394.2620907924,0.0,0.0,0.0
Chattanooga,2028,1403241.9232126358,1132873.6320126357,270368.29120000004,1539102.1430715837,2942344.0662842197,53043.6478012891,64006.54800528381,117050.19580657268
Chattanooga,2029,1292007.8639253078,1022497.0223253078,269510.8416,1506549.9665316714,2798557.830456979,164277.70708861714,96558.72454519616,260836.4316338133
Chattanooga,2030,1291477.4935867896,1022824.1015867896,268653.39200000005,1455393.219742279,2746870.7133290684,164808.07742713531,147715.47133458848,312523.548761724
Chattanooga,2031,1236496.603845612,968700.661445612,267795.9424,1408367.275946535,2644863.879792147,219788.967168313,194741.41513033258,414530.38229864556
Chattanooga,2032,722471.5125545083,455533.0197545083,266938.4928,1355844.0604569844,2078315.5730114928,733814.0584594166,247264.63061988307,981078.6890792996
Chattanooga,2033,691674.1997053104,425593.1565053104,266081.0432,1339843.91634235,2031518.1160476604,764611.3713086145,263264.77473451756,1027876.1460431321
Chattanooga,2034,618357.3282837183,353133.7346837184,265223.5936,1290575.3868787491,1908932.7151624674,837928.2427302066,312533.3041981184,1150461.546928325
Chattanooga,2035,593588.0723315853,329221.92833158537,264366.14400000003,1250086.09034508,1843674.1626766655,862697.4986823396,353022.6007317875,1215720.099414127
Chattanooga,2036,558630.9485390993,295122.2541390993,263508.69440000004,1212714.8061151672,1771345.7546542664,897654.6224748256,390393.8849617003,1288048.507436526
Chattanooga,2037,509040.1705758518,246388.92577585188,262651.2448,1178157.3424067858,1687197.5129826376,947245.4004380731,424951.3486700817,1372196.7491081548
Chattanooga,2038,486823.9758447479,225030.18064474783,261793.7952,1146626.0536880577,1633450.0295328056,969461.595169177,456482.6373888098,1425944.2325579869
Chattanooga,2039,418390.3306050568,157453.98500505683,260936.3456,1116665.3132764357,1535055.6438814925,1037895.2404088681,486443.3778004318,1524338.6182092999
Chattanooga,2040,419310.739092064,159231.84309206402,260078.896,1090463.9103799688,1509774.6494720327,1036974.8319218609,512644.7806968987,1549619.6126187597
Chattanooga,2041,422932.085712435,163710.639312435,259221.4464,1057216.6299704844,1480148.7156829194,1033353.4853014899,545892.0611063831,1579245.546407873
Chattanooga,2042,423007.59412095114,164643.59732095108,258363.9968,1035772.663365919,1458780.25748687,1033277.9768929738,567336.0277109485,1600614.0046039224
Chattanooga,2043,416336.0965153368,158829.5493153368,257506.54720000003,1015569.9412189332,1431906.03773427,1039949.4744985881,587538.7498579343,1627488.2243565223
Chattanooga,2044,415147.4691465826,158498.37154658255,256649.0976,1003134.6174814224,1418282.086628005,1041138.1018673424,599974.0735954451,1641112.1754627875
Chattanooga,2045,410780.0050075148,154988.35700751477,255791.648,989780.7733605944,1400560.7783681091,1045505.5660064102,613327.9177162731,1658833.4837226833
Chattanooga,2046,411788.60145316186,156854.4030531618,254934.1984,980367.8679640512,1392156.469417213,1044496.9695607631,622740.8231128163,1667237.7926735794
Chattanooga,2047,406843.9444900777,152767.1956900776,254076.74880000003,970492.093678452,1377336.0381685295,1049441.6265238472,632616.5973984156,1682058.223922263
Chattanooga,2048,410705.4630137135,157486.16381371347,253219.2992,968065.7802681644,1378771.2432818778,1045580.1080002114,635042.9108087032,1680623.0188089146
Chattanooga,2049,412301.0783386128,159939.22873861284,252361.8496,972433.9222240328,1384735.0005626455,1043984.4926753121,630674.7688528347,1674659.261528147
Chattanooga,2050,419909.6228471269,168405.22284712686,251504.4,979497.367861704,1399406.9907088308,1036375.948166798,623611.3232151635,1659987.2713819616
