city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Cincinnati,2027,2470128.6189007554,1632415.2165007554,837713.4024,1603108.6910768675,4073237.3099776227,0.0,0.0,0.0
Cincinnati,2028,2373246.634739914,1540440.221139914,832806.4136000001,1539102.1430715837,3912348.7778114974,96881.98416084144,64006.54800528381,160888.53216612525
Cincinnati,2029,2391940.711114036,1564041.2863140358,827899.4248,1506549.9665316714,3898490.6776457075,78187.9077867195,96558.72454519616,174746.6323319152
Cincinnati,2030,2394043.6564210495,1571051.2204210495,822992.436,1455393.219742279,3849436.8761633285,76084.96247970592,147715.47133458848,223800.43381429417
Cincinnati,2031,2337801.566768414,1519716.119568414,818085.4472,1408367.275946535,3746168.8427149486,132327.05213234155,194741.41513033258,327068.4672626741
Cincinnati,2032,2089943.854470449,1276765.3960704491,813178.4584000001,1355844.0604569844,3445787.9149274332,380184.7644303064,247264.63061988307,627449.3950501895
Cincinnati,2033,2021628.3085611209,1213356.8389611207,808271.4696,1339843.91634235,3361472.224903471,448500.31033963454,263264.77473451756,711765.0850741519
Cincinnati,2034,1907003.3518928832,1103638.8710928834,803364.4808,1290575.3868787491,3197578.7387716323,563125.2670078722,312533.3041981184,875658.5712059904
Cincinnati,2035,1788216.4771294096,989758.9851294096,798457.4920000001,1250086.09034508,3038302.5674744896,681912.1417713459,353022.6007317875,1034934.7425031331
Cincinnati,2036,1660901.5609061234,867351.0577061235,793550.5032,1212714.8061151672,2873616.3670212906,809227.057994632,390393.8849617003,1199620.9429563321
Cincinnati,2037,1563549.4994107198,774905.9850107199,788643.5144,1178157.3424067858,2741706.8418175057,906579.1194900356,424951.3486700817,1331530.468160117
Cincinnati,2038,1427340.743066386,643604.2174663857,783736.5256,1146626.0536880577,2573966.796754444,1042787.8758343693,456482.6373888098,1499270.5132231787
Cincinnati,2039,1381823.0323594222,602993.4955594222,778829.5368000001,1116665.3132764357,2498488.345635858,1088305.5865413332,486443.3778004318,1574748.9643417648
Cincinnati,2040,1401602.9893364075,627680.4413364078,773922.548,1090463.9103799688,2492066.8997163763,1068525.629564348,512644.7806968987,1581170.4102612464
Cincinnati,2041,1421093.8185817553,652078.2593817553,769015.5592,1057216.6299704844,2478310.4485522397,1049034.8003190001,545892.0611063831,1594926.861425383
Cincinnati,2042,1437612.8429443291,673504.2725443292,764108.5704000001,1035772.663365919,2473385.5063102483,1032515.7759564263,567336.0277109485,1599851.8036673744
Cincinnati,2043,1461221.921952758,702020.3403527578,759201.5816,1015569.9412189332,2476791.863171691,1008906.6969479974,587538.7498579343,1596445.4468059316
Cincinnati,2044,1465409.7656280077,711115.1728280076,754294.5928,1003134.6174814224,2468544.38310943,1004718.8532727477,599974.0735954451,1604692.9268681929
Cincinnati,2045,1442538.1630858337,693150.5590858335,749387.604,989780.7733605944,2432318.9364464283,1027590.4558149218,613327.9177162731,1640918.3735311944
Cincinnati,2046,1456322.898102113,711842.2829021129,744480.6152000001,980367.8679640512,2436690.7660661642,1013805.7207986424,622740.8231128163,1636546.5439114585
Cincinnati,2047,1326142.0671990258,586568.4407990257,739573.6264,970492.093678452,2296634.160877478,1143986.5517017297,632616.5973984156,1776603.1491001449
Cincinnati,2048,1290525.1815299497,555858.5439299496,734666.6376,968065.7802681644,2258590.961798114,1179603.4373708058,635042.9108087032,1814646.348179509
Cincinnati,2049,1269235.6692820222,539476.0204820221,729759.6488000001,972433.9222240328,2241669.591506055,1200892.9496187333,630674.7688528347,1831567.7184715676
Cincinnati,2050,1263282.4230944694,538429.7630944692,724852.66,979497.367861704,2242779.790956173,1206846.195806286,623611.3232151635,1830457.5190214496
