city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Cleveland,2027,3198599.958670086,1887950.0418700865,1310649.9168,1036732.8588139693,4235332.817484056,0.0,0.0,0.0
Cleveland,2028,3082997.747808126,1780750.4126081257,1302247.3352,1032727.3404398189,4115725.0882479446,115602.21086196043,4005.518374150386,119607.72923611104
Cleveland,2029,3101034.946155736,1807190.192555736,1293844.7536,1049623.284283714,4150658.23043945,97565.01251435,-12890.425469744601,84674.58704460552
Cleveland,2030,3099881.847841316,1814439.6758413156,1285442.172,1051836.531297277,4151718.3791385926,98718.11082877032,-15103.672483307659,83614.43834546302
Cleveland,2031,3031365.5604154905,1754325.9700154902,1277039.5904,1055210.8019984788,4086576.3624139694,167234.3982545957,-18477.943184509524,148756.4550700863
Cleveland,2032,2741809.648081239,1473172.639281239,1268637.0088,1054193.9769157027,3796003.6249969415,456790.3105888474,-17461.118101733387,439329.1924871141
Cleveland,2033,2659579.6852574106,1399345.2580574104,1260234.4272000005,1079526.59695339,3739106.282210801,539020.2734126756,-42793.73813942063,496226.53527325485
Cleveland,2034,2524034.2051997767,1272202.3595997766,1251831.8456,1075700.7530256875,3599734.9582254644,674565.7534703095,-38967.89421171823,635597.8592585912
Cleveland,2035,2383811.90658574,1140382.6425857402,1243429.264,1077302.3189900387,3461114.2255757786,814788.0520843463,-40569.460176069406,774218.591908277
Cleveland,2036,2233892.2787315594,998865.5963315596,1235026.6824,1079806.6729461018,3313698.9516776614,964707.6799385268,-43073.81413213245,921633.8658063943
Cleveland,2037,2118596.074883894,891971.9740838942,1226624.1008,1082994.1712066415,3201590.2460905355,1080003.8837861922,-46261.312392672175,1033742.5713935201
Cleveland,2038,1958696.1325745543,740474.6133745542,1218221.5192,1086787.8619665124,3045483.9945410667,1239903.826095532,-50055.0031525431,1189848.822942989
Cleveland,2039,1903232.06491752,693413.1273175202,1209818.9376,1090222.1506591232,2993454.215576643,1295367.8937525663,-53489.2918451539,1241878.6019074125
Cleveland,2040,1922864.634819328,721448.2788193277,1201416.356,1094691.963199344,3017556.5980186723,1275735.3238507581,-57959.104385374696,1217776.2194653833
Cleveland,2041,1942135.7334350508,749121.9590350506,1193013.7744,1086277.1184042348,3028412.8518392853,1256464.2252350354,-49544.25959026546,1206919.9656447703
Cleveland,2042,1957965.2786585405,773354.0858585403,1184611.1928,1091005.0487674507,3048970.327425991,1240634.6800115458,-54272.18995348143,1186362.4900580645
Cleveland,2043,1981906.0097252657,805697.3985252654,1176208.6112000002,1095982.5533650091,3077888.563090275,1216693.9489448206,-59249.69455103984,1157444.2543937806
Cleveland,2044,1983534.1893717172,815728.1597717172,1167806.0296,1103569.325158388,3087103.514530105,1215065.769298369,-66836.46634441859,1148229.3029539506
Cleveland,2045,1954125.6243601183,794722.1763601187,1159403.448,1107188.6114844421,3061314.2358445604,1244474.334309968,-70455.75267047284,1174018.5816394952
Cleveland,2046,1966742.7722218963,815741.9058218964,1151000.8664000002,1112495.3857137593,3079238.1579356557,1231857.18644819,-75762.52689979004,1156094.6595484
Cleveland,2047,1814441.4591553044,671843.1743553043,1142598.2848,1116120.3377492328,2930561.796904537,1384158.4995147819,-79387.47893526347,1304771.0205795188
Cleveland,2048,1770540.8051639216,636345.1019639215,1134195.7032,1122088.4808956515,2892629.2860595733,1428059.1535061647,-85355.6220816822,1342703.5314244824
Cleveland,2049,1743068.197339431,617275.0757394307,1125793.1216000002,1128611.5306393881,2871679.727978819,1455531.7613306553,-91878.67182541883,1363653.0895052366
Cleveland,2050,1733152.414893699,615761.8748936993,1117390.54,1134344.682341816,2867497.097235515,1465447.543776387,-97611.8235278466,1367835.7202485409
