city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Columbus,2027,5230096.936657485,3394018.9138566116,1836078.022800873,1603108.6910768675,6833205.627734352,0.0,0.0,0.0
Columbus,2028,5015884.834946426,3195296.5054376703,1820588.329508756,1539102.1430715837,6554986.978018009,214212.101711059,64006.54800528381,278218.6497163428
Columbus,2029,5046313.093186551,3239608.0157805067,1806705.0774060448,1506549.9665316714,6552863.059718222,183783.84347093385,96558.72454519616,280342.56801612955
Columbus,2030,5032841.815258935,3240902.630898648,1791939.184360287,1455393.219742279,6488235.035001215,197255.12139854953,147715.47133458848,344970.5927331373
Columbus,2031,4904152.600531715,3124911.2254243167,1779241.375107398,1408367.275946535,6312519.87647825,325944.33612576965,194741.41513033258,520685.75125610176
Columbus,2032,4385157.12418548,2619462.7414133577,1765694.382772123,1355844.0604569844,5741001.184642465,844939.8124720044,247264.63061988307,1092204.443091887
Columbus,2033,4237626.23146227,2485213.9627048727,1752412.2687573968,1339843.91634235,5577470.14780462,992470.7051952146,263264.77473451756,1255735.4799297322
Columbus,2034,3994289.665548682,2255801.6222650316,1738488.0432836511,1290575.3868787491,5284865.052427432,1235807.2711088024,312533.3041981184,1548340.5753069203
Columbus,2035,3747462.9703796934,2021256.0782610192,1726206.8921186745,1250086.09034508,4997549.060724773,1482633.9662777912,353022.6007317875,1835656.5670095785
Columbus,2036,3487981.7636041627,1772195.3591131466,1715786.4044910162,1212714.8061151672,4700696.5697193295,1742115.173053322,390393.8849617003,2132509.0580150224
Columbus,2037,3288254.711782852,1583465.9221140824,1704788.78966877,1178157.3424067858,4466412.054189638,1941842.2248746324,424951.3486700817,2366793.5735447137
Columbus,2038,3008055.176819282,1314915.1715568958,1693140.0052623863,1146626.0536880577,4154681.23050734,2222041.7598382025,456482.6373888098,2678524.397227012
Columbus,2039,2918092.128108097,1233848.1200048258,1684244.008103271,1116665.3132764357,4034757.4413845325,2312004.808549388,486443.3778004318,2798448.1863498194
Columbus,2040,2961382.95709893,1285717.620829327,1675665.336269603,1090463.9103799688,4051846.8674788987,2268713.9795585545,512644.7806968987,2781358.760255453
Columbus,2041,3001979.3667663005,1335623.2277626223,1666356.1390036782,1057216.6299704844,4059195.996736785,2228117.569891184,545892.0611063831,2774009.630997567
Columbus,2042,3037603.4220795715,1380367.9337037958,1657235.488375776,1035772.663365919,4073376.0854454907,2192493.514577913,567336.0277109485,2759829.5422888612
Columbus,2043,3090721.6192423897,1441483.6450139724,1649237.9742284175,1015569.9412189332,4106291.560461323,2139375.317415095,587538.7498579343,2726914.067273029
Columbus,2044,3103365.879099198,1462880.2923708167,1640485.5867283817,1003134.6174814224,4106500.4965806203,2126731.0575582865,599974.0735954451,2726705.1311537316
Columbus,2045,3060683.6057904204,1428820.895890774,1631862.7098996462,989780.7733605944,4050464.3791510146,2169413.330867064,613327.9177162731,2782741.2485833373
Columbus,2046,3096121.604763381,1471639.1929522334,1624482.4118111478,980367.8679640512,4076489.4727274324,2133975.3318941034,622740.8231128163,2756716.1550069195
Columbus,2047,2834313.9689046275,1216776.2167414722,1617537.7521631557,970492.093678452,3804806.0625830796,2395782.967752857,632616.5973984156,3028399.5651512723
Columbus,2048,2765480.3633587286,1156506.5054452266,1608973.857913502,968065.7802681644,3733546.143626893,2464616.573298756,635042.9108087032,3099659.484107459
Columbus,2049,2726222.313476069,1126378.55890266,1599843.754573409,972433.9222240328,3698656.2357001016,2503874.6231814157,630674.7688528347,3134549.3920342503
Columbus,2050,2721760.0416649147,1129601.841474434,1592158.2001904806,979497.367861704,3701257.4095266187,2508336.89499257,623611.3232151635,3131948.2182077332
