city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Dayton,2027,1131093.0054429546,735003.0852123288,396089.92023062566,1603108.6910768675,2734201.696519822,0.0,0.0,0.0
Dayton,2028,1084222.3184267743,691636.7288440489,392585.5895827253,1539102.1430715837,2623324.4614983583,46870.68701618025,64006.54800528381,110877.2350214636
Dayton,2029,1089775.5029162772,700614.298851615,389161.20406466216,1506549.9665316714,2596325.4694479485,41317.50252667745,96558.72454519616,137876.22707187338
Dayton,2030,1087691.2637215694,701326.5719002525,386364.6918213169,1455393.219742279,2543084.4834638485,43401.74172138516,147715.47133458848,191117.2130559734
Dayton,2031,1059964.1908220905,676286.6611437805,383677.52967830974,1408367.275946535,2468331.466768625,71128.81462086411,194741.41513033258,265870.2297511967
Dayton,2032,946674.9140949931,566313.0885602323,380361.8255347608,1355844.0604569844,2302518.9745519776,184418.09134796145,247264.63061988307,431682.7219678443
Dayton,2033,915082.1419662246,537379.371486413,377702.7704798117,1339843.91634235,2254926.0583085744,216010.86347672995,263264.77473451756,479275.6382112475
Dayton,2034,862470.7941806209,487774.7361851622,374696.0579954586,1290575.3868787491,2153046.18105937,268622.2112623337,312533.3041981184,581155.5154604521
Dayton,2035,809003.9749634366,436980.24970353633,372023.7252599002,1250086.09034508,2059090.0653085166,322089.030479518,353022.6007317875,675111.6312113053
Dayton,2036,752428.9515907519,382863.5020026136,369565.4495881384,1212714.8061151672,1965143.757705919,378664.0538522027,390393.8849617003,769057.9388139029
Dayton,2037,709205.6028926023,342059.889686854,367145.7132057484,1178157.3424067858,1887362.9452993881,421887.4025503523,424951.3486700817,846838.7512204337
Dayton,2038,649452.9765445337,284333.9042424464,365119.0723020873,1146626.0536880577,1796079.0302325916,481640.02889842086,456482.6373888098,938122.6662872303
Dayton,2039,629763.6611690633,266715.08596342144,363048.5752056419,1116665.3132764357,1746428.974445499,501329.3442738913,486443.3778004318,987772.7220743229
Dayton,2040,638361.2653479237,277605.75443132693,360755.51091659686,1090463.9103799688,1728825.1757278927,492731.74009503087,512644.7806968987,1005376.5207919292
Dayton,2041,647767.2484719043,288610.29487414815,359156.95359775616,1057216.6299704844,1704983.8784423887,483325.7569710503,545892.0611063831,1029217.8180774332
Dayton,2042,655396.729636844,298246.86401963874,357149.8656172053,1035772.663365919,1691169.393002763,475696.2758061106,567336.0277109485,1043032.303517059
Dayton,2043,666573.7169515052,311331.7608719354,355241.95607956976,1015569.9412189332,1682143.6581704384,464519.28849144944,587538.7498579343,1052058.0383493835
Dayton,2044,669406.3111650804,315954.8945961431,353451.41656893736,1003134.6174814224,1672540.9286465028,461686.6942778742,599974.0735954451,1061660.767873319
Dayton,2045,659781.4801506854,308444.7810561474,351336.699094538,989780.7733605944,1649562.2535112798,471311.5252922692,613327.9177162731,1084639.443008542
Dayton,2046,667493.2940846304,317708.59790670226,349784.69617792824,980367.8679640512,1647861.1620486816,463599.71135832416,622740.8231128163,1086340.5344711402
Dayton,2047,611088.3531250136,262743.30982040346,348345.0433046101,970492.093678452,1581580.4468034655,520004.65231794096,632616.5973984156,1152621.2497163564
Dayton,2048,595713.9220666058,249558.90568228537,346155.01638432033,968065.7802681644,1563779.70233477,535379.0833763488,635042.9108087032,1170421.9941850519
Dayton,2049,587681.6719065451,243188.9374850719,344492.7344214733,972433.9222240328,1560115.594130578,543411.3335364095,630674.7688528347,1174086.102389244
Dayton,2050,586557.4893450246,243829.27101852477,342728.2183264999,979497.367861704,1566054.8572067285,544535.51609793,623611.3232151635,1168146.8393130933
