city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Hampton,2027,395189.3162417233,257643.34452013017,137545.97172159317,1603108.6910768675,1998298.0073185908,0.0,0.0,0.0
Hampton,2028,393826.5639378818,256923.4814195142,136903.08251836762,1539102.1430715837,1932928.7070094654,1362.7523038415238,64006.54800528381,65369.300309125334
Hampton,2029,386028.68002998177,249494.94363675383,136533.73639322797,1506549.9665316714,1892578.6465616531,9160.636211741541,96558.72454519616,105719.36075693765
Hampton,2030,370202.0576447468,234165.53202930797,136036.52561543885,1455393.219742279,1825595.2773870258,24987.25859697652,147715.47133458848,172702.729931565
Hampton,2031,346580.24871146714,210692.33428232567,135887.91442914147,1408367.275946535,1754947.524658002,48609.06753025617,194741.41513033258,243350.4826605888
Hampton,2032,358284.8171503142,222982.0700130941,135302.7471372201,1355844.0604569844,1714128.8776072985,36904.49909140909,247264.63061988307,284169.1297112922
Hampton,2033,336908.1033640616,201877.31630892004,135030.7870551416,1339843.91634235,1676752.0197064115,58281.21287766169,263264.77473451756,321545.98761217925
Hampton,2034,305340.06791825214,170653.71039257778,134686.35752567436,1290575.3868787491,1595915.4547970013,89849.24832347117,312533.3041981184,402382.55252158944
Hampton,2035,290955.26747552725,156565.695966284,134389.57150924328,1250086.09034508,1541041.3578206073,104234.04876619607,353022.6007317875,457256.6494979835
Hampton,2036,302124.955959465,167996.92344123294,134128.03251823207,1212714.8061151672,1514839.762074632,93064.3602822583,390393.8849617003,483458.24524395866
Hampton,2037,250424.8169556657,116601.06812774055,133823.74882792516,1178157.3424067858,1428582.1593624516,144764.4992860576,424951.3486700817,569715.8479561391
Hampton,2038,240365.78935026625,106729.50664836416,133636.28270190206,1146626.0536880577,1386991.843038324,154823.52689145706,456482.6373888098,611306.1642802667
Hampton,2039,230200.9905105672,96741.40323914708,133459.58727142017,1116665.3132764357,1346866.3037870028,164988.3257311561,486443.3778004318,651431.703531588
Hampton,2040,223296.31202435875,90116.88222916858,133179.42979519017,1090463.9103799688,1313760.2224043275,171893.00421736456,512644.7806968987,684537.7849142633
Hampton,2041,221934.525914486,88792.29275956971,133142.23315491626,1057216.6299704844,1279151.1558849704,173254.7903272373,545892.0611063831,719146.8514336203
Hampton,2042,232257.79705465803,99357.31790747309,132900.47914718496,1035772.663365919,1268030.460420577,162931.51918706528,567336.0277109485,730267.5468980137
Hampton,2043,224000.71132244493,91158.98967263152,132841.7216498134,1015569.9412189332,1239570.652541378,171188.60491927838,587538.7498579343,758727.3547772127
Hampton,2044,221414.77187812584,88681.11766888751,132733.6542092383,1003134.6174814224,1224549.3893595482,173774.54436359747,599974.0735954451,773748.6179590425
Hampton,2045,226851.48937820815,94189.20738576478,132662.28199244337,989780.7733605944,1216632.2627388025,168337.82686351516,613327.9177162731,781665.7445797883
Hampton,2046,225939.98123730876,93253.09550271677,132686.88573459198,980367.8679640512,1206307.84920136,169249.33500441455,622740.8231128163,791990.1581172307
Hampton,2047,223526.87896058103,90918.96908235773,132607.9098782233,970492.093678452,1194018.972639033,171662.43728114228,632616.5973984156,804279.0346795577
Hampton,2048,215992.19895089464,83446.32957338181,132545.8693775128,968065.7802681644,1184057.979219059,179197.11729082867,635042.9108087032,814240.0280995318
Hampton,2049,212742.22688191393,80375.95443345423,132366.2724484597,972433.9222240328,1185176.1491059468,182447.08935980938,630674.7688528347,813121.858212644
Hampton,2050,212324.02364624696,80121.92014739208,132202.10349885488,979497.367861704,1191821.3915079508,182865.29259547635,623611.3232151635,806476.6158106399
