city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Jackson,2027,1436134.3362313467,1197866.635003472,238267.70122787484,1603108.6910768675,3039243.0273082145,0.0,0.0,0.0
Jackson,2028,1397414.9414587347,1160591.9160325546,236823.02542618025,1539102.1430715837,2936517.084530318,38719.394772612024,64006.54800528381,102725.9427778963
Jackson,2029,1312142.9127069889,1076838.771136494,235304.14157049463,1506549.9665316714,2818692.8792386604,123991.42352435784,96558.72454519616,220550.148069554
Jackson,2030,1226521.6252893806,992592.6366598046,233928.9886295759,1455393.219742279,2681914.8450316596,209612.71094196616,147715.47133458848,357328.1822765549
Jackson,2031,1116610.3194283785,883811.2039899388,232799.1154384393,1408367.275946535,2524977.5953749134,319524.0168029682,194741.41513033258,514265.43193330104
Jackson,2032,1096467.7412230752,865151.4481357019,231316.29308737323,1355844.0604569844,2452311.8016800596,339666.5950082715,247264.63061988307,586931.2256281548
Jackson,2033,1044506.296163271,814640.1140501571,229866.18211311375,1339843.91634235,2384350.212505621,391628.04006807576,263264.77473451756,654892.8148025936
Jackson,2034,959293.5066812122,730716.0658233855,228577.44085782676,1290575.3868787491,2249868.8935599616,476840.8295501345,312533.3041981184,789374.1337482529
Jackson,2035,916605.293631569,689315.5299241906,227289.7637073784,1250086.09034508,2166691.383976649,519529.0425997777,353022.6007317875,872551.6433315654
Jackson,2036,883180.2864014442,656978.4069674086,226201.8794340356,1212714.8061151672,2095895.0925166113,552954.0498299025,390393.8849617003,943347.9347916031
Jackson,2037,763010.1772353194,537989.0105658417,225021.16666947777,1178157.3424067858,1941167.5196421053,673124.1589960273,424951.3486700817,1098075.5076661091
Jackson,2038,660383.4005509294,436416.5454808114,223966.85507011792,1146626.0536880577,1807009.454238987,775750.9356804173,456482.6373888098,1232233.5730692274
Jackson,2039,597612.1931800501,374475.5653530324,223136.62782701768,1116665.3132764357,1714277.506456486,838522.1430512966,486443.3778004318,1324965.5208517285
Jackson,2040,592758.9856710926,370570.5334518709,222188.4522192218,1090463.9103799688,1683222.8960510613,843375.3505602541,512644.7806968987,1356020.131257153
Jackson,2041,608401.0614536734,387018.3659334039,221382.6955202694,1057216.6299704844,1665617.691424158,827733.2747776733,545892.0611063831,1373625.3358840565
Jackson,2042,593359.4682283036,372732.4109371428,220627.0572911609,1035772.663365919,1629132.1315942225,842774.8680030431,567336.0277109485,1410110.895713992
Jackson,2043,547907.5864459565,328139.9401490976,219767.6462968589,1015569.9412189332,1563477.5276648896,888226.7497853902,587538.7498579343,1475765.4996433249
Jackson,2044,540075.9009421061,320948.9981016576,219126.90284044857,1003134.6174814224,1543210.5184235284,896058.4352892406,599974.0735954451,1496032.508884686
Jackson,2045,492603.4377112131,274072.0809481738,218531.35676303928,989780.7733605944,1482384.2110718074,943530.8985201337,613327.9177162731,1556858.816236407
Jackson,2046,466737.89547315694,248649.06209143865,218088.83338171832,980367.8679640512,1447105.7634372083,969396.4407581898,622740.8231128163,1592137.2638710062
Jackson,2047,463812.5308090628,246019.3913314684,217793.1394775944,970492.093678452,1434304.6244875148,972321.805422284,632616.5973984156,1604938.4028206996
Jackson,2048,437829.3867617005,220434.58288953363,217394.80387216684,968065.7802681644,1405895.1670298649,998304.9494696462,635042.9108087032,1633347.8602783496
Jackson,2049,440054.1967527234,223085.88029203383,216968.31646068953,972433.9222240328,1412488.1189767562,996080.1394786233,630674.7688528347,1626754.9083314582
Jackson,2050,418913.23683902656,202253.52139515444,216659.7154438721,979497.367861704,1398410.6047007306,1017221.0993923201,623611.3232151635,1640832.4226074838
