city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Kansas City,2027,3485535.4331453885,2979931.548874673,505603.8842707153,1603108.6910768675,5088644.124222256,0.0,0.0,0.0
Kansas City,2028,3463086.0365031175,2963029.0927920784,500056.94371103944,1539102.1430715837,5002188.179574701,22449.396642270964,64006.54800528381,86455.94464755524
Kansas City,2029,3312168.27060668,2817078.992703637,495089.2779030424,1506549.9665316714,4818718.237138351,173367.16253870865,96558.72454519616,269925.8870839048
Kansas City,2030,2420053.8431426818,1929490.0665703071,490563.7765723746,1455393.219742279,3875447.062884961,1065481.5900027067,147715.47133458848,1213197.0613372955
Kansas City,2031,2058805.3540672092,1572401.481390057,486403.87267715216,1408367.275946535,3467172.6300137443,1426730.0790781793,194741.41513033258,1621471.494208512
Kansas City,2032,2557778.5789767145,2076525.9991995264,481252.5797771882,1355844.0604569844,3913622.6394336987,927756.854168674,247264.63061988307,1175021.4847885575
Kansas City,2033,2376107.53822268,1900014.45016884,476093.0880538394,1339843.91634235,3715951.4545650296,1109427.8949227086,263264.77473451756,1372692.6696572267
Kansas City,2034,1762495.2427361775,1290822.932622302,471672.3101138756,1290575.3868787491,3053070.629614927,1723040.190409211,312533.3041981184,2035573.4946073294
Kansas City,2035,1601224.264442816,1133854.7721463982,467369.49229641794,1250086.09034508,2851310.354787896,1884311.1687025726,353022.6007317875,2237333.7694343603
Kansas City,2036,1569589.1477384944,1106626.176161996,462962.9715764986,1212714.8061151672,2782303.9538536617,1915946.285406894,390393.8849617003,2306340.1703685946
Kansas City,2037,1537860.086475988,1078923.6517469722,458936.4347290159,1178157.3424067858,2716017.428882774,1947675.3466694006,424951.3486700817,2372626.6953394823
Kansas City,2038,1468625.4548508597,1013279.3139423818,455346.1409084777,1146626.0536880577,2615251.5085389176,2016909.9782945288,456482.6373888098,2473392.6156833386
Kansas City,2039,1009481.1021195838,557733.2261339184,451747.8759856655,1116665.3132764357,2126146.4153960194,2476054.331025805,486443.3778004318,2962497.708826237
Kansas City,2040,1007594.575193028,559340.5341090722,448254.0410839559,1090463.9103799688,2098058.4855729965,2477940.8579523605,512644.7806968987,2990585.6386492597
Kansas City,2041,983613.5488156378,538451.8599599932,445161.6888556448,1057216.6299704844,2040830.1787861222,2501921.8843297507,545892.0611063831,3047813.945436134
Kansas City,2042,963555.99524797,521470.4000150022,442085.5952329677,1035772.663365919,1999328.658613889,2521979.4378974186,567336.0277109485,3089315.465608367
Kansas City,2043,953332.6176198008,514360.7980597397,438971.81956006103,1015569.9412189332,1968902.558838734,2532202.8155255876,587538.7498579343,3119741.5653835223
Kansas City,2044,946482.7657074344,510651.2580711786,435831.5076362556,1003134.6174814224,1949617.3831888568,2539052.667437954,599974.0735954451,3139026.7410333995
Kansas City,2045,940258.460880227,507854.48139363504,432403.9794865921,989780.7733605944,1930039.2342408216,2545276.9722651616,613327.9177162731,3158604.8899814347
Kansas City,2046,950801.6147291352,521514.8080388528,429286.80669028254,980367.8679640512,1931169.4826931865,2534733.818416253,622740.8231128163,3157474.6415290697
Kansas City,2047,946135.3273450972,519960.0160344742,426175.31131062313,970492.093678452,1916627.421023549,2539400.1058002915,632616.5973984156,3172016.703198707
Kansas City,2048,996910.3744966148,574062.1975108507,422848.1769857641,968065.7802681644,1964976.1547647791,2488625.0586487735,635042.9108087032,3123667.9694574773
Kansas City,2049,987478.0426090384,568222.6323437054,419255.4102653329,972433.9222240328,1959911.9648330712,2498057.39053635,630674.7688528347,3128732.159389185
Kansas City,2050,982218.7211146724,566259.501370676,415959.2197439962,979497.367861704,1961716.0889763762,2503316.7120307162,623611.3232151635,3126928.03524588
