city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Lansing,2027,950944.8168683406,484990.9984683406,465953.8184,1603108.6910768675,2554053.507945208,0.0,0.0,0.0
Lansing,2028,938759.2581761044,475494.52057610423,463264.73760000005,1539102.1430715837,2477861.401247688,12185.558692236198,64006.54800528381,76192.10669751978
Lansing,2029,804437.4140743765,343861.75727437646,460575.6568,1506549.9665316714,2310987.380606048,146507.40279396414,96558.72454519616,243066.12733916007
Lansing,2030,726269.590789196,268383.014789196,457886.576,1455393.219742279,2181662.810531475,224675.22607914463,147715.47133458848,372390.69741373276
Lansing,2031,641678.726429693,186481.23122969305,455197.4952,1408367.275946535,2050046.002376228,309266.09043864754,194741.41513033258,504007.5055689798
Lansing,2032,632280.5422460891,179772.1278460891,452508.4144,1355844.0604569844,1988124.6027030735,318664.2746222515,247264.63061988307,565928.9052421344
Lansing,2033,618997.1711548445,169177.83755484445,449819.3336,1339843.91634235,1958841.0874971943,331947.64571349614,263264.77473451756,595212.4204480136
Lansing,2034,611728.1742371691,164597.92143716902,447130.2528,1290575.3868787491,1902303.5611159182,339216.6426311715,312533.3041981184,651749.9468292897
Lansing,2035,602118.8195552333,157677.64755523333,444441.172,1250086.09034508,1852204.9099003132,348825.99731310725,353022.6007317875,701848.5980448946
Lansing,2036,580371.4254059322,138619.33420593222,441752.0912,1212714.8061151672,1793086.2315210993,370573.39146240836,390393.8849617003,760967.2764241085
Lansing,2037,560538.4383587991,121475.42795879902,439063.0104,1178157.3424067858,1738695.780765585,390406.3785095415,424951.3486700817,815357.727179623
Lansing,2038,546405.1202192387,110031.19061923862,436373.9296,1146626.0536880577,1693031.1739072963,404539.6966491019,456482.6373888098,861022.3340379116
Lansing,2039,534877.6872721033,101192.83847210323,433684.8488,1116665.3132764357,1651543.000548539,416067.1295962373,486443.3778004318,902510.5073966689
Lansing,2040,517917.310216703,86921.54221670292,430995.768,1090463.9103799688,1608381.2205966718,433027.5066516376,512644.7806968987,945672.2873485361
Lansing,2041,512677.8585978498,84371.17139784979,428306.6872,1057216.6299704844,1569894.4885683341,438266.9582704908,545892.0611063831,984159.0193768737
Lansing,2042,509427.8258891277,83810.21948912766,425617.6064,1035772.663365919,1545200.4892550467,441516.9909792129,567336.0277109485,1008853.0186901612
Lansing,2043,507380.15043108177,84451.62483108178,422928.52560000005,1015569.9412189332,1522950.091650015,443564.6664372588,587538.7498579343,1031103.4162951929
Lansing,2044,504483.2957514238,84243.85095142381,420239.4448,1003134.6174814224,1507617.9132328462,446461.5211169168,599974.0735954451,1046435.5947123617
Lansing,2045,501316.6612116726,83766.29721167253,417550.364,989780.7733605944,1491097.4345722669,449628.155656668,613327.9177162731,1062956.073372941
Lansing,2046,498262.5332631379,83401.2500631379,414861.28320000006,980367.8679640512,1478630.4012271892,452682.2836052027,622740.8231128163,1075423.1067180187
Lansing,2047,495884.8642003718,83712.66180037176,412172.2024,970492.093678452,1466376.9578788239,455059.9526679688,632616.5973984156,1087676.550066384
Lansing,2048,492378.69732284825,82895.5757228483,409483.1216,968065.7802681644,1460444.4775910126,458566.11954549234,635042.9108087032,1093609.0303541953
Lansing,2049,489882.7290573177,83088.68825731768,406794.0408,972433.9222240328,1462316.6512813505,461062.0878110229,630674.7688528347,1091736.8566638574
Lansing,2050,490785.23129176535,86680.27129176538,404104.96,979497.367861704,1470282.5991534693,460159.58557657525,623611.3232151635,1083770.9087917386
