city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Montgomery,2027,1234966.5049742907,1037334.9841742908,197631.5208,1603108.6910768675,2838075.196051158,0.0,0.0,0.0
Montgomery,2028,1179872.2833745526,983204.3321745524,196667.9512,1539102.1430715837,2718974.426446136,55094.22159973811,64006.54800528381,119100.76960502192
Montgomery,2029,1111099.0509168871,915394.669316887,195704.3816,1506549.9665316714,2617649.0174485585,123867.45405740361,96558.72454519616,220426.17860259954
Montgomery,2030,1015140.1747132764,820399.3627132764,194740.812,1455393.219742279,2470533.3944555554,219826.3302610143,147715.47133458848,367541.80159560265
Montgomery,2031,957679.4656424116,763902.2232424114,193777.2424,1408367.275946535,2366046.7415889464,277287.0393318791,194741.41513033258,472028.4544622116
Montgomery,2032,752534.7342413352,559721.0614413352,192813.6728,1355844.0604569844,2108378.7946983194,482431.77073295554,247264.63061988307,729696.4013528386
Montgomery,2033,683959.7542578746,492109.65105787455,191850.1032,1339843.91634235,2023803.6706002245,551006.7507164162,263264.77473451756,814271.5254509335
Montgomery,2034,665388.2959278286,474501.7623278287,190886.5336,1290575.3868787491,1955963.6828065778,569578.2090464621,312533.3041981184,882111.5132445802
Montgomery,2035,640208.7345029708,450285.7705029709,189922.96400000004,1250086.09034508,1890294.8248480507,594757.7704713199,353022.6007317875,947780.3712031073
Montgomery,2036,610902.8157211081,421943.4213211081,188959.3944,1212714.8061151672,1823617.6218362753,624063.6892531826,390393.8849617003,1014457.5742148827
Montgomery,2037,577328.3135028882,389332.48870288813,187995.8248,1178157.3424067858,1755485.655909674,657638.1914714025,424951.3486700817,1082589.540141484
Montgomery,2038,548897.8311994984,361865.5759994984,187032.2552,1146626.0536880577,1695523.884887556,686068.6737747923,456482.6373888098,1142551.311163602
Montgomery,2039,524640.5079997883,338571.8223997882,186068.68560000003,1116665.3132764357,1641305.821276224,710325.9969745025,486443.3778004318,1196769.374774934
Montgomery,2040,511089.9283096596,325984.81230965955,185105.116,1090463.9103799688,1601553.8386896285,723876.5766646311,512644.7806968987,1236521.3573615295
Montgomery,2041,514181.35335826693,330039.80695826694,184141.5464,1057216.6299704844,1571397.9833287513,720785.1516160239,545892.0611063831,1266677.2127224067
Montgomery,2042,494746.3600827372,311568.38328273717,183177.9768,1035772.663365919,1530519.0234486563,740220.1448915536,567336.0277109485,1307556.1726025017
Montgomery,2043,464213.441234256,281999.03403425607,182214.4072,1015569.9412189332,1479783.3824531892,770753.0637400347,587538.7498579343,1358291.8135979688
Montgomery,2044,457727.249275457,276476.41167545697,181250.83760000003,1003134.6174814224,1460861.8667568793,777239.2556988337,599974.0735954451,1377213.3292942788
Montgomery,2045,451017.7197878372,270730.4517878372,180287.268,989780.7733605944,1440798.4931484316,783948.7851864535,613327.9177162731,1397276.7029027264
Montgomery,2046,440479.85787457833,261156.1594745783,179323.6984,980367.8679640512,1420847.7258386295,794486.6470997124,622740.8231128163,1417227.4702125285
Montgomery,2047,419992.2477284758,241632.11892847577,178360.1288,970492.093678452,1390484.3414069277,814974.2572458149,632616.5973984156,1447590.8546442303
Montgomery,2048,412426.7310673692,235030.17186736915,177396.55920000002,968065.7802681644,1380492.5113355336,822539.7739069215,635042.9108087032,1457582.6847156244
Montgomery,2049,415241.2221173196,238808.23251731956,176432.98960000003,972433.9222240328,1387675.1443413524,819725.2828569711,630674.7688528347,1450400.0517098056
Montgomery,2050,413263.171213856,237793.751213856,175469.41999999998,979497.367861704,1392760.53907556,821703.3337604348,623611.3232151635,1445314.656975598
