city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Nashville,2027,4539092.679355064,3804023.2193608526,735069.4599942118,3434619.5557831977,7973712.235138262,0.0,0.0,0.0
Nashville,2028,4360853.273338159,3630239.6416816786,730613.6316564797,3421598.1531101163,7782451.426448274,178239.4060169058,13021.402673081495,191260.8086899873
Nashville,2029,3996419.2280176817,3269981.8746516565,726437.3533660249,3473838.8697573566,7470258.097775038,542673.4513373827,-39219.31397415884,503454.13736322336
Nashville,2030,3982644.878354205,3259965.3391540926,722679.5392001127,3482334.4433623943,7464979.321716599,556447.8010008596,-47714.8875791966,508732.9134216625
Nashville,2031,3798902.0104032224,3079644.5355369095,719257.4748663128,3492905.2739257994,7291807.284329021,740190.668951842,-58285.71814260166,681904.9508092403
Nashville,2032,2160873.8307416467,1445496.2927895903,715377.5379520566,3488012.248414549,5648886.079156196,2378218.8486134177,-53392.692631351296,2324826.155982066
Nashville,2033,2058941.971341623,1347779.6372856433,711162.3340559799,3571362.6634672256,5630304.634808849,2480150.7080134414,-136743.10768402787,2343407.600329413
Nashville,2034,1824030.5526021249,1116689.020386999,707341.5322151256,3559764.678242772,5383795.230844896,2715062.1267529395,-125145.12245957414,2589917.0042933654
Nashville,2035,1744293.8685272653,1040272.1979062178,704021.6706210477,3565655.59531307,5309949.463840336,2794798.810827799,-131036.03952987213,2663762.771297926
Nashville,2036,1633543.3287938682,932675.5094576558,700867.8193362125,3574404.367704703,5207947.696498571,2905549.350561196,-139784.81192150526,2765764.5386396907
Nashville,2037,1476558.8269870777,778952.821385149,697606.0056019283,3585452.5293124486,5062011.356299526,3062533.852367987,-150832.97352925083,2911700.8788387356
Nashville,2038,1406687.2189395728,711774.496725067,694912.7222145058,3598954.210723344,5005641.429662917,3132405.460415492,-164334.65494014602,2968070.805475345
Nashville,2039,1190802.680669022,498211.1471674929,692591.533501529,3610047.3889178196,4800850.069586841,3348289.9986860426,-175427.83313462185,3172862.1655514203
Nashville,2040,1193865.6731556254,503399.1228792113,690466.550276414,3624614.559460777,4818480.232616402,3345227.006199439,-189995.0036775791,3155232.0025218595
Nashville,2041,1205274.5811809937,516867.81462415593,688406.7665568376,3597296.7859791354,4802571.367160129,3333818.098174071,-162677.23019593768,3171140.8679781323
Nashville,2042,1206248.183918486,519801.0407807483,686447.1431377375,3612222.181543639,4818470.365462124,3332844.4954365785,-177602.62576044118,3155241.8696761373
Nashville,2043,1186830.8129003602,502283.3095338254,684547.5033665347,3628388.3221334373,4815219.1350337975,3352261.866454704,-193768.76635023952,3158493.100104464
Nashville,2044,1185723.6427212332,502554.0462197831,683169.5965014502,3653575.7144689364,4839299.357190169,3353369.0366338314,-218956.1586857387,3134412.8779480923
Nashville,2045,1174447.866338892,492394.78468710824,682053.0816517835,3665207.0499931793,4839654.916332072,3364644.8130161725,-230587.49420998152,3134057.31880619
Nashville,2046,1180870.909216308,499209.32423333137,681661.5849829768,3682935.3586511207,4863806.267867429,3358221.7701387564,-248315.80286792293,3109905.9672708325
Nashville,2047,1168439.2770667886,486975.49532135687,681463.7817454317,3695766.5306545533,4864205.807721342,3370653.402288276,-261146.97487135557,3109506.4274169197
Nashville,2048,1184309.8057942877,503045.4553353443,681264.3504589432,3715955.733176851,4900265.538971139,3354782.873560777,-281336.17739365343,3073446.6961671226
Nashville,2049,1192728.4110612946,512061.03830584174,680667.3727554528,3737453.1199045856,4930181.5309658805,3346364.26829377,-302833.5641213879,3043530.704172381
Nashville,2050,1221323.7741261371,540860.8248607044,680462.9492654328,3756495.030756659,4977818.8048827965,3317768.9052289273,-321875.4749734611,2995893.430255465
