city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Newport News,2027,626394.5336576812,476557.3384576811,149837.19520000002,1603108.6910768675,2229503.2247345485,0.0,0.0,0.0
Newport News,2028,598160.4742638353,448643.76146383537,149516.7128,1539102.1430715837,2137262.617335419,28234.059393845848,64006.54800528381,92240.60739912931
Newport News,2029,573035.1208455159,423838.89044551586,149196.2304,1506549.9665316714,2079585.0873771873,53359.412812165334,96558.72454519616,149918.13735736115
Newport News,2030,557127.3194400523,408251.57144005224,148875.748,1455393.219742279,2012520.5391823314,69267.21421762893,147715.47133458848,216982.68555221707
Newport News,2031,501276.5522269636,352721.28662696364,148555.2656,1408367.275946535,1909643.8281734986,125117.98143071757,194741.41513033258,319859.39656104986
Newport News,2032,347203.6315032145,198968.84830321447,148234.7832,1355844.0604569844,1703047.6919601988,279190.9021544667,247264.63061988307,526455.5327743497
Newport News,2033,303546.84432387474,155632.54352387472,147914.30080000003,1339843.91634235,1643390.7606662246,322847.68933380645,263264.77473451756,586112.4640683238
Newport News,2034,286343.9114344538,138750.0930344538,147593.8184,1290575.3868787491,1576919.2983132028,340050.6222232274,312533.3041981184,652583.9264213457
Newport News,2035,270407.652925671,123134.316925671,147273.336,1250086.09034508,1520493.743270751,355986.8807320102,353022.6007317875,709009.4814637974
Newport News,2036,273699.6767087097,126746.82310870972,146952.8536,1212714.8061151672,1486414.482823877,352694.8569489715,390393.8849617003,743088.7419106716
Newport News,2037,238317.92094014492,91685.5497401449,146632.3712,1178157.3424067858,1416475.2633469307,388076.6127175363,424951.3486700817,813027.9613876177
Newport News,2038,243785.18754419556,97473.29874419556,146311.88880000002,1146626.0536880577,1390411.2412322531,382609.34611348563,456482.6373888098,839091.9835022953
Newport News,2039,226728.59787118807,80737.19147118805,145991.4064,1116665.3132764357,1343393.9111476238,399665.9357864931,486443.3778004318,886109.3135869247
Newport News,2040,210699.881652273,65028.95765227298,145670.924,1090463.9103799688,1301163.7920322418,415694.6520054082,512644.7806968987,928339.4327023067
Newport News,2041,214468.831595493,69118.389995493,145350.44160000002,1057216.6299704844,1271685.4615659774,411925.7020621882,545892.0611063831,957817.763168571
Newport News,2042,213387.3800488535,68357.42084885348,145029.9592,1035772.663365919,1249160.0434147725,413007.15360882774,567336.0277109485,980343.181319776
Newport News,2043,209478.7190616496,64769.2422616496,144709.4768,1015569.9412189332,1225048.6602805827,416915.81459603156,587538.7498579343,1004454.5644539658
Newport News,2044,199551.81082249156,55162.81642249154,144388.99440000005,1003134.6174814224,1202686.428303914,426842.72283518966,599974.0735954451,1026816.7964306346
Newport News,2045,193466.92995632585,49398.41795632582,144068.51200000002,989780.7733605944,1183247.7033169202,432927.60370135534,613327.9177162731,1046255.5214176283
Newport News,2046,188741.0735653617,44993.04396536169,143748.0296,980367.8679640512,1169108.941529413,437653.4600923195,622740.8231128163,1060394.2832051355
Newport News,2047,197632.55381928335,54205.00661928336,143427.5472,970492.093678452,1168124.6474977352,428761.9798383978,632616.5973984156,1061378.5772368133
Newport News,2048,198004.98461192028,54897.91981192028,143107.0648,968065.7802681644,1166070.7648800847,428389.5490457609,635042.9108087032,1063432.4598544638
Newport News,2049,189701.50203589615,46914.91963589615,142786.5824,972433.9222240328,1162135.424259929,436693.031621785,630674.7688528347,1067367.8004746195
Newport News,2050,201545.4632115797,59079.36321157971,142466.1,979497.367861704,1181042.8310732837,424849.0704461015,623611.3232151635,1048460.3936612648
