city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Oakland,2027,914638.4025236836,342638.09342407464,572000.309099609,1603108.6910768675,2517747.093600551,0.0,0.0,0.0
Oakland,2028,891909.6213995296,320076.86283937393,571832.7585601558,1539102.1430715837,2431011.764471113,22728.78112415399,64006.54800528381,86735.32912943792
Oakland,2029,882295.4318924845,320239.5745179919,562055.8573744926,1506549.9665316714,2388845.398424156,32342.970631199074,96558.72454519616,128901.69517639512
Oakland,2030,898438.6871672934,343040.0429509524,555398.644216341,1455393.219742279,2353831.9069095724,16199.715356390225,147715.47133458848,163915.1866909787
Oakland,2031,901338.4117918456,350618.21322784235,550720.1985640035,1408367.275946535,2309705.6877383804,13299.990731838043,194741.41513033258,208041.40586217074
Oakland,2032,915759.168887096,365903.78566362546,549855.3832234705,1355844.0604569844,2271603.22934408,-1120.7663634123746,247264.63061988307,246143.86425647093
Oakland,2033,872728.3676024219,323558.33497478435,549170.0326276375,1339843.91634235,2212572.2839447716,41910.034921261715,263264.77473451756,305174.8096557795
Oakland,2034,857657.0915622683,308800.3763390713,548856.7152231971,1290575.3868787491,2148232.4784410177,56981.31096141529,312533.3041981184,369514.61515953345
Oakland,2035,838700.6597666324,290140.7003551769,548559.9594114554,1250086.09034508,2088786.7501117124,75937.74275705125,353022.6007317875,428960.34348883876
Oakland,2036,808563.5702109078,260194.1273458284,548369.4428650795,1212714.8061151672,2021278.376326075,106074.83231277578,390393.8849617003,496468.7172744761
Oakland,2037,770655.0191979503,221375.60126056307,549279.4179373872,1178157.3424067858,1948812.3616047362,143983.38332573336,424951.3486700817,568934.731995815
Oakland,2038,748910.372711098,198752.14902536495,550158.223685733,1146626.0536880577,1895536.4263991558,165728.02981258556,456482.6373888098,622210.6672013954
Oakland,2039,724234.2145348259,172964.67927372592,551269.5352611,1116665.3132764357,1840899.5278112616,190404.18798885774,486443.3778004318,676847.5657892895
Oakland,2040,723582.3350104906,171631.57293105492,551950.7620794357,1090463.9103799688,1814046.2453904594,191056.067513193,512644.7806968987,703700.8482100917
Oakland,2041,714021.3885654322,161871.52565893345,552149.8629064987,1057216.6299704844,1771238.0185359167,200617.01395825145,545892.0611063831,746509.0750646344
Oakland,2042,698052.8087538872,144905.81127633373,553146.9974775534,1035772.663365919,1733825.4721198063,216585.59376979643,567336.0277109485,783921.6214807448
Oakland,2043,699792.1360105055,145733.9666291333,554058.1693813722,1015569.9412189332,1715362.0772294388,214846.26651317813,587538.7498579343,802385.0163711123
Oakland,2044,693733.34012929,138705.6584496799,555027.68167961,1003134.6174814224,1696867.9576107124,220905.0623943936,599974.0735954451,820879.1359898387
Oakland,2045,686962.036410435,131241.6541002727,555720.3823101623,989780.7733605944,1676742.8097710293,227676.36611324863,613327.9177162731,841004.2838295219
Oakland,2046,666811.2919635646,110095.44259093735,556715.8493726272,980367.8679640512,1647179.159927616,247827.11056011904,622740.8231128163,870567.9336729352
Oakland,2047,679298.0810202134,121390.10312697658,557907.9778932369,970492.093678452,1649790.1746986653,235340.3215034702,632616.5973984156,867956.9189018859
Oakland,2048,679571.0198099473,121356.15837384756,558214.8614360999,968065.7802681644,1647636.8000781117,235067.38271373627,635042.9108087032,870110.2935224394
Oakland,2049,668633.9083802368,109558.54522100904,559075.3631592278,972433.9222240328,1641067.8306042696,246004.4941434468,630674.7688528347,876679.2629962815
Oakland,2050,666313.935527991,106764.87417371814,559549.0613542729,979497.367861704,1645811.303389695,248324.46699569258,623611.3232151635,871935.7902108561
