city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Philadelphia,2027,7815705.103880349,4190088.198838687,3625616.9050416606,1603108.6910768675,9418813.794957217,0.0,0.0,0.0
Philadelphia,2028,7514124.057157375,3895728.590446054,3618395.46671132,1539102.1430715837,9053226.20022896,301581.0467229737,64006.54800528381,365587.5947282575
Philadelphia,2029,7292750.95544878,3679188.5066770297,3613562.4487717506,1506549.9665316714,8799300.921980452,522954.1484315684,96558.72454519616,619512.872976765
Philadelphia,2030,7042344.177250865,3432610.8690805268,3609733.308170338,1455393.219742279,8497737.396993143,773360.9266294837,147715.47133458848,921076.3979640733
Philadelphia,2031,6822746.538353662,3215324.60014145,3607421.938212212,1408367.275946535,8231113.814300197,992958.5655266866,194741.41513033258,1187699.9806570197
Philadelphia,2032,6514054.595967056,2908250.3932763925,3605804.202690664,1355844.0604569844,7869898.656424041,1301650.5079132924,247264.63061988307,1548915.138533176
Philadelphia,2033,6336472.78576792,2733911.729886993,3602561.0558809275,1339843.91634235,7676316.70211027,1479232.3181124283,263264.77473451756,1742497.0928469468
Philadelphia,2034,6095503.615756447,2493467.940387494,3602035.6753689535,1290575.3868787491,7386079.002635197,1720201.4881239012,312533.3041981184,2032734.79232202
Philadelphia,2035,6037958.820140553,2434227.2514184304,3603731.568722123,1250086.09034508,7288044.910485633,1777746.283739796,353022.6007317875,2130768.884471584
Philadelphia,2036,5897078.594827756,2290160.3461071244,3606918.248720631,1212714.8061151672,7109793.4009429235,1918626.5090525923,390393.8849617003,2309020.3940142933
Philadelphia,2037,5519586.970886856,1909852.205761875,3609734.7651249818,1178157.3424067858,6697744.313293642,2296118.1329934923,424951.3486700817,2721069.4816635745
Philadelphia,2038,5174469.403885954,1559587.0483861654,3614882.3554997887,1146626.0536880577,6321095.457574012,2641235.6999943946,456482.6373888098,3097718.337383205
Philadelphia,2039,5010124.754313203,1388214.8636728758,3621909.8906403263,1116665.3132764357,6126790.067589639,2805580.349567146,486443.3778004318,3292023.727367578
Philadelphia,2040,4991308.950345125,1363745.781268395,3627563.1690767305,1090463.9103799688,6081772.860725094,2824396.1535352236,512644.7806968987,3337040.934232123
Philadelphia,2041,5015449.563968565,1380590.5510685006,3634859.0129000647,1057216.6299704844,6072666.19393905,2800255.5399117833,545892.0611063831,3346147.601018167
Philadelphia,2042,4950036.6389778545,1306409.718371959,3643626.920605896,1035772.663365919,5985809.302343774,2865668.464902494,567336.0277109485,3433004.492613443
Philadelphia,2043,5048219.590865776,1397076.7879521465,3651142.80291363,1015569.9412189332,6063789.532084709,2767485.5130145727,587538.7498579343,3355024.262872508
Philadelphia,2044,5131413.688809624,1470089.5383495102,3661324.1504601142,1003134.6174814224,6134548.306291047,2684291.4150707247,599974.0735954451,3284265.4886661703
Philadelphia,2045,5284117.24960676,1612885.791745847,3671231.457860913,989780.7733605944,6273898.022967354,2531587.8542735884,613327.9177162731,3144915.7719898624
Philadelphia,2046,5219657.845437458,1538925.8096482414,3680732.035789217,980367.8679640512,6200025.713401509,2596047.258442891,622740.8231128163,3218788.0815557074
Philadelphia,2047,5427673.388254639,1736135.858884642,3691537.529369997,970492.093678452,6398165.481933091,2388031.71562571,632616.5973984156,3020648.313024126
Philadelphia,2048,5445776.981126113,1744082.0356995198,3701694.9454265935,968065.7802681644,6413842.761394277,2369928.1227542358,635042.9108087032,3004971.0335629396
Philadelphia,2049,5348324.477164946,1638516.616076918,3709807.8610880272,972433.9222240328,6320758.399388978,2467380.626715403,630674.7688528347,3098055.3955682386
Philadelphia,2050,5326449.1952748615,1608961.8315081694,3717487.3637666926,979497.367861704,6305946.5631365655,2489255.908605487,623611.3232151635,3112867.2318206513
