city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Pittsburgh,2027,2619299.7621117053,1554360.0933117052,1064939.6688,1603108.6910768675,4222408.453188573,0.0,0.0,0.0
Pittsburgh,2028,2528223.0208434025,1460458.4376434025,1067764.5832,1539102.1430715837,4067325.163914986,91076.74126830278,64006.54800528381,155083.28927358706
Pittsburgh,2029,2546976.645901582,1476387.148301582,1070589.4976,1506549.9665316714,4053526.612433254,72323.11621012306,96558.72454519616,168881.84075531922
Pittsburgh,2030,2549916.9716110164,1476502.5596110162,1073414.412,1455393.219742279,4005310.1913532955,69382.79050068883,147715.47133458848,217098.26183527755
Pittsburgh,2031,2498181.8872722564,1421942.5608722563,1076239.3264,1408367.275946535,3906549.1632187916,121117.87483944884,194741.41513033258,315859.2899697814
Pittsburgh,2032,2268360.613015839,1189296.372215839,1079064.2408,1355844.0604569844,3624204.6734728236,350939.14909586636,247264.63061988307,598203.7797157494
Pittsburgh,2033,2207039.0796978273,1125149.9244978274,1081889.1552,1339843.91634235,3546882.9960401775,412260.6824138779,263264.77473451756,675525.4571483955
Pittsburgh,2034,2103481.2050854005,1018767.1354854008,1084714.0696,1290575.3868787491,3394056.59196415,515818.55702630477,312533.3041981184,828351.8612244232
Pittsburgh,2035,1997004.9717894865,909465.9877894864,1087538.9840000002,1250086.09034508,3247091.0621345667,622294.7903222188,353022.6007317875,975317.3910540063
Pittsburgh,2036,1883675.3717499664,793311.4733499662,1090363.8984,1212714.8061151672,3096390.1778651336,735624.3903617389,390393.8849617003,1126018.2753234394
Pittsburgh,2037,1798648.4136687624,705459.6008687622,1093188.8128,1178157.3424067858,2976805.756075548,820651.3484429428,424951.3486700817,1245602.697113025
Pittsburgh,2038,1679188.284944716,583174.5577447161,1096013.7272,1146626.0536880577,2825814.3386327736,940111.4771669894,456482.6373888098,1396594.1145557994
Pittsburgh,2039,1642628.1893505314,543789.5477505313,1098838.6416000002,1116665.3132764357,2759293.502626967,976671.5727611738,486443.3778004318,1463114.9505616059
Pittsburgh,2040,1665011.9870278465,563348.4310278462,1101663.556,1090463.9103799688,2755475.8974078153,954287.7750838588,512644.7806968987,1466932.5557807577
Pittsburgh,2041,1686913.3708233293,582424.9004233293,1104488.4704,1057216.6299704844,2744130.0007938137,932386.391288376,545892.0611063831,1478278.4523947593
Pittsburgh,2042,1705950.26688956,598636.8820895599,1107313.3848,1035772.663365919,2741722.930255479,913349.4952221452,567336.0277109485,1480685.5229330938
Pittsburgh,2043,1731059.679718216,620921.3805182159,1110138.2992000002,1015569.9412189332,2746629.620937149,888240.0823934893,587538.7498579343,1475778.832251424
Pittsburgh,2044,1738814.6937198006,625851.4801198007,1112963.2136,1003134.6174814224,2741949.311201223,880485.0683919047,599974.0735954451,1480459.1419873498
Pittsburgh,2045,1722781.096467347,606992.9684673467,1115788.128,989780.7733605944,2712561.869827941,896518.6656443584,613327.9177162731,1509846.583360632
Pittsburgh,2046,1738831.4233906765,620218.3809906763,1118613.0424000002,980367.8679640512,2719199.291354728,880468.3387210288,622740.8231128163,1503209.161833845
Pittsburgh,2047,1629906.4355702708,508468.4787702707,1121437.9568,970492.093678452,2600398.529248723,989393.3265414345,632616.5973984156,1622009.9239398502
Pittsburgh,2048,1603635.8249733248,479372.95377332467,1124262.8712,968065.7802681644,2571701.605241489,1015663.9371383805,635042.9108087032,1650706.8479470839
Pittsburgh,2049,1589920.8510662224,462833.06546622247,1127087.7856,972433.9222240328,2562354.773290255,1029378.9110454828,630674.7688528347,1660053.679898318
Pittsburgh,2050,1589431.2497497075,459518.5497497076,1129912.7000000002,979497.367861704,2568928.6176114115,1029868.5123619977,623611.3232151635,1653479.8355771615
