city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Raleigh,2027,1734216.6653637192,1360058.3812622505,374158.2841014687,1603108.6910768675,3337325.356440587,0.0,0.0,0.0
Raleigh,2028,1649416.3444101815,1277087.5581809916,372328.78622919,1539102.1430715837,3188518.4874817654,84800.32095353771,64006.54800528381,148806.86895882152
Raleigh,2029,1573790.1379381015,1203247.2807972452,370542.8571408565,1506549.9665316714,3080340.104469773,160426.52742561768,96558.72454519616,256985.25197081408
Raleigh,2030,1524450.8744774263,1155010.0327338474,369440.84174357937,1455393.219742279,2979844.094219705,209765.79088629293,147715.47133458848,357481.2622208819
Raleigh,2031,1362575.1205345057,994353.8812419614,368221.2392925444,1408367.275946535,2770942.396481041,371641.5448292135,194741.41513033258,566382.9599595461
Raleigh,2032,925437.7657597476,558866.8986039715,366570.8671557761,1355844.0604569844,2281281.826216732,808778.8996039716,247264.63061988307,1056043.5302238548
Raleigh,2033,800998.5707645778,435893.83986508835,365104.7308994894,1339843.91634235,2140842.4871069277,933218.0945991414,263264.77473451756,1196482.8693336593
Raleigh,2034,752361.5014664037,388075.24320636864,364286.2582600352,1290575.3868787491,2042936.8883451528,981855.1638973155,312533.3041981184,1294388.4680954341
Raleigh,2035,707207.0796528982,344024.22761978535,363182.8520331129,1250086.09034508,1957293.1699979783,1027009.585710821,353022.6007317875,1380032.1864426087
Raleigh,2036,715753.0890730238,353718.27164341265,362034.8174296111,1212714.8061151672,1928467.895188191,1018463.5762906955,390393.8849617003,1408857.461252396
Raleigh,2037,616416.8490573495,255604.73187772947,360812.1171796201,1178157.3424067858,1794574.1914641354,1117799.8163063698,424951.3486700817,1542751.1649764515
Raleigh,2038,631952.6347189819,271840.75644384284,360111.87827513914,1146626.0536880577,1778578.6884070397,1102264.0306447372,456482.6373888098,1558746.6680335472
Raleigh,2039,584426.6869944582,225238.783611549,359187.9033829092,1116665.3132764357,1701092.0002708938,1149789.9783692611,486443.3778004318,1636233.3561696932
Raleigh,2040,539918.6193532944,181422.71958458345,358495.89976871107,1090463.9103799688,1630382.5297332632,1194298.0460104248,512644.7806968987,1706942.8267073238
Raleigh,2041,550768.3131932265,192873.8106894319,357894.50250379456,1057216.6299704844,1607984.9431637109,1183448.3521704928,545892.0611063831,1729340.413276876
Raleigh,2042,548400.7685761219,190934.5664756665,357466.2021004553,1035772.663365919,1584173.431942041,1185815.8967875973,567336.0277109485,1753151.924498546
Raleigh,2043,538129.1602177282,181170.1073831775,356959.05283455073,1015569.9412189332,1553699.1014366616,1196087.505145991,587538.7498579343,1783626.2550039254
Raleigh,2044,511455.5706743241,154633.4321135914,356822.1385607327,1003134.6174814224,1514590.1881557466,1222761.094689395,599974.0735954451,1822735.1682848404
Raleigh,2045,495583.4911827372,138820.9084814579,356762.5827012793,989780.7733605944,1485364.2645433317,1238633.174180982,613327.9177162731,1851961.0918972553
Raleigh,2046,483765.3903248252,126787.6214381218,356977.76888670336,980367.8679640512,1464133.2582888764,1250451.275038894,622740.8231128163,1873192.0981517106
Raleigh,2047,510040.08303596225,153151.7144932921,356888.36854267016,970492.093678452,1480532.1767144143,1224176.582327757,632616.5973984156,1856793.1797261727
Raleigh,2048,512314.8411094612,155575.97936613762,356738.8617433236,968065.7802681644,1480380.6213776255,1221901.824254258,635042.9108087032,1856944.7350629615
Raleigh,2049,489729.5971282356,133422.47237793062,356307.12475030497,972433.9222240328,1462163.5193522684,1244487.0682354835,630674.7688528347,1875161.8370883185
Raleigh,2050,524925.3725131542,168762.25993911258,356163.1125740416,979497.367861704,1504422.740374858,1209291.2928505652,623611.3232151635,1832902.616065729
