city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Rochester,2027,868637.8406356655,149253.8755393807,719383.9650962848,1603108.6910768675,2471746.531712533,0.0,0.0,0.0
Rochester,2028,858123.4798127734,139899.20945244317,718224.2703603302,1539102.1430715837,2397225.6228843573,10514.36082289205,64006.54800528381,74520.90882817563
Rochester,2029,848673.158970224,131483.6461332095,717189.5128370144,1506549.9665316714,2355223.1255018953,19964.681665441487,96558.72454519616,116523.40621063765
Rochester,2030,852273.4042860669,135879.23246085618,716394.1718252108,1455393.219742279,2307666.624028346,16364.436349598574,147715.47133458848,164079.90768418694
Rochester,2031,832994.8824066098,116996.76871605898,715998.1136905509,1408367.275946535,2241362.158353145,35642.95822905563,194741.41513033258,230384.3733593882
Rochester,2032,829587.4257919785,113957.40189941524,715630.0238925633,1355844.0604569844,2185431.486248963,39050.41484368697,247264.63061988307,286315.0454635699
Rochester,2033,826549.1979778751,111734.42896179852,714814.7690160766,1339843.91634235,2166393.114320225,42088.64265779033,263264.77473451756,305353.4173923079
Rochester,2034,821840.82762027,108020.61639668584,713820.2112235841,1290575.3868787491,2112416.214499019,46797.013015395496,312533.3041981184,359330.3172135139
Rochester,2035,824166.1727875553,108992.05344007372,715174.1193474815,1250086.09034508,2074252.2631326353,44471.6678481102,353022.6007317875,397494.2685798977
Rochester,2036,819699.7126713616,104067.76237141184,715631.9502999497,1212714.8061151672,2032414.5187865288,48938.12796430383,390393.8849617003,439332.0129260041
Rochester,2037,816960.4148340768,101205.62196943445,715754.7928646423,1178157.3424067858,1995117.7572408626,51677.42580158869,424951.3486700817,476628.7744716704
Rochester,2038,818434.9299625752,101735.12065299528,716699.8093095799,1146626.0536880577,1965060.983650633,50202.91067309026,456482.6373888098,506685.5480619001
Rochester,2039,819731.2587738609,101756.20073485083,717975.05803901,1116665.3132764357,1936396.5720502967,48906.58186180459,486443.3778004318,535349.9596622363
Rochester,2040,815947.8797692165,96588.5255931839,719359.3541760326,1090463.9103799688,1906411.7901491853,52689.960866448935,512644.7806968987,565334.7415633476
Rochester,2041,815282.795544986,94845.44883713324,720437.3467078528,1057216.6299704844,1872499.4255154706,53355.04509067943,545892.0611063831,599247.1061970624
Rochester,2042,813348.3109605212,91393.44883645364,721954.8621240675,1035772.663365919,1849120.9743264401,55289.52967514424,567336.0277109485,622625.5573860928
Rochester,2043,828223.3631809028,104466.08805779633,723757.2751231064,1015569.9412189332,1843793.3043998359,40414.47745476267,587538.7498579343,627953.2273126971
Rochester,2044,827053.3829036558,101489.36665754786,725564.0162461079,1003134.6174814224,1830188.0003850781,41584.4577320097,599974.0735954451,641558.5313274548
Rochester,2045,828062.1468029444,100999.8502019394,727062.296601005,989780.7733605944,1817842.9201635388,40575.693832721096,613327.9177162731,653903.6115489942
Rochester,2046,829755.1288891397,100423.430737123,729331.6981520166,980367.8679640512,1810122.996853191,38882.71174652572,622740.8231128163,661623.534859342
Rochester,2047,830642.4556821928,98909.21959600324,731733.2360861896,970492.093678452,1801134.5493606448,37995.38495347265,632616.5973984156,670611.9823518882
Rochester,2048,830543.209122624,97675.39821198132,732867.8109106427,968065.7802681644,1798608.9893907884,38094.631513041444,635042.9108087032,673137.5423217446
Rochester,2049,830046.8738239831,95396.18554444892,734650.6882795342,972433.9222240328,1802480.7960480158,38590.96681168233,630674.7688528347,669265.7356645172
Rochester,2050,832457.9315657853,96285.5747929688,736172.3567728165,979497.367861704,1811955.2994274893,36179.909069880145,623611.3232151635,659791.2322850437
