city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
Savannah,2027,902009.2649253252,722470.4086259686,179538.85629935667,1603108.6910768675,2505117.9560021926,0.0,0.0,0.0
Savannah,2028,861662.9424481918,683064.973490857,178597.96895733476,1539102.1430715837,2400765.0855197757,40346.32247713336,64006.54800528381,104352.87048241682
Savannah,2029,812578.7915700057,634757.8483622732,177820.94320773252,1506549.9665316714,2319128.758101677,89430.47335531947,96558.72454519616,185989.19790051552
Savannah,2030,743478.4842589413,566496.5134046599,176981.97085428133,1455393.219742279,2198871.7040012204,158530.78066638391,147715.47133458848,306246.25200097216
Savannah,2031,702196.1191993671,525855.6333995314,176340.48579983576,1408367.275946535,2110563.395145902,199813.14572595805,194741.41513033258,394554.5608562906
Savannah,2032,559709.2089416168,384149.8244839432,175559.38445767364,1355844.0604569844,1915553.2693986013,342300.05598370836,247264.63061988307,589564.6866035913
Savannah,2033,511423.0873441691,336717.9546561542,174705.1326880149,1339843.91634235,1851267.003686519,390586.1775811561,263264.77473451756,653850.9523156735
Savannah,2034,498133.44929323834,324104.9391403527,174028.51015288563,1290575.3868787491,1788708.8361719875,403875.81563208683,312533.3041981184,716409.1198302051
Savannah,2035,480793.32339801255,307337.32933967153,173455.99405834096,1250086.09034508,1730879.4137430927,421215.9415273126,353022.6007317875,774238.5422590999
Savannah,2036,460497.8492527469,287696.4004822527,172801.44877049414,1212714.8061151672,1673212.6553679141,441511.41567257827,390393.8849617003,831905.3006342785
Savannah,2037,437225.29655818606,265169.5371356181,172055.75942256796,1178157.3424067858,1615382.638964972,464783.9683671391,424951.3486700817,889735.3170372206
Savannah,2038,418619.9932544739,246815.93679438723,171804.05646008666,1146626.0536880577,1565246.0469425316,483389.2716708513,456482.6373888098,939871.909059661
Savannah,2039,402158.4924026642,230956.5840562256,171201.9083464386,1116665.3132764357,1518823.8056790999,499850.77252266096,486443.3778004318,986294.1503230927
Savannah,2040,393138.3575974284,222362.4138718007,170775.94372562767,1090463.9103799688,1483602.2679773972,508870.9073278968,512644.7806968987,1021515.6880247954
Savannah,2041,395705.06067073374,225263.6136633039,170441.44700742984,1057216.6299704844,1452921.690641218,506304.20425459143,545892.0611063831,1052196.2653609745
Savannah,2042,382927.4578354555,212840.61894258845,170086.83889286703,1035772.663365919,1418700.1212013746,519081.8070898697,567336.0277109485,1086417.834800818
Savannah,2043,362681.2849562764,192914.299635991,169766.98532028543,1015569.9412189332,1378251.2261752095,539327.9799690488,587538.7498579343,1126866.729826983
Savannah,2044,359143.66828558873,189546.23224694692,169597.43603864184,1003134.6174814224,1362278.285767011,542865.5966397364,599974.0735954451,1142839.6702351815
Savannah,2045,355656.5805191515,186116.03491710752,169540.54560204397,989780.7733605944,1345437.353879746,546352.6844061736,613327.9177162731,1159680.6021224465
Savannah,2046,349512.60022148583,179970.64959064455,169541.9506308413,980367.8679640512,1329880.468185537,552496.6647038393,622740.8231128163,1175237.4878166555
Savannah,2047,336637.3526592308,167049.84509595387,169587.50756327694,970492.093678452,1307129.4463376827,565371.9122660944,632616.5973984156,1197988.50966451
Savannah,2048,332834.3293094955,163122.9767352295,169711.35257426606,968065.7802681644,1300900.10957766,569174.9356158297,635042.9108087032,1204217.8464245326
Savannah,2049,335918.53204823856,166356.63029178727,169561.90175645135,972433.9222240328,1308352.4542722714,566090.7328770866,630674.7688528347,1196765.5017299212
Savannah,2050,335786.9949706339,166337.77047515294,169449.22449548094,979497.367861704,1315284.3628323379,566222.2699546913,623611.3232151635,1189833.5931698547
