city,year,buildings_total_mt_co2e,buildings_electricity_mt_co2,buildings_ng_mt_co2e,transport_mt_co2,total_mt_co2e,buildings_savings_mtco2e,transport_savings_mtco2e,total_savings_mtco2e
St. Louis,2027,4155109.8083703346,2654481.4649619553,1500628.3434083797,1603108.6910768675,5758218.499447202,0.0,0.0,0.0
St. Louis,2028,4228648.019696864,2742027.5170713104,1486620.502625554,1539102.1430715837,5767750.162768448,-73538.21132652974,64006.54800528381,-9531.663321245462
St. Louis,2029,4112980.2177374354,2639520.110099885,1473460.1076375498,1506549.9665316714,5619530.184269107,42129.5906328992,96558.72454519616,138688.31517809536
St. Louis,2030,3981347.6311210785,2520378.1840347783,1460969.4470863,1455393.219742279,5436740.850863358,173762.17724925606,147715.47133458848,321477.6485838443
St. Louis,2031,3858040.4249495696,2407414.6685913904,1450625.7563581795,1408367.275946535,5266407.700896105,297069.38342076493,194741.41513033258,491810.7985510975
St. Louis,2032,2617911.9009089908,1177551.7853314346,1440360.115577556,1355844.0604569844,3973755.9613659754,1537197.9074613438,247264.63061988307,1784462.5380812269
St. Louis,2033,2461984.392255457,1033971.9256240606,1428012.4666313962,1339843.91634235,3801828.308597807,1693125.4161148774,263264.77473451756,1956390.1908493955
St. Louis,2034,2372978.0133875604,956295.9485079228,1416682.0648796377,1290575.3868787491,3663553.4002663093,1782131.7949827742,312533.3041981184,2094665.099180893
St. Louis,2035,2278701.00699476,872203.3137915012,1406497.693203259,1250086.09034508,3528787.09733984,1876408.8013755744,353022.6007317875,2229431.402107362
St. Louis,2036,2113965.5388300065,717983.5607930835,1395981.9780369229,1212714.8061151672,3326680.3449451737,2041144.269540328,390393.8849617003,2431538.1545020286
St. Louis,2037,1971424.0307744516,586081.6614019785,1385342.369372473,1178157.3424067858,3149581.3731812374,2183685.7775958832,424951.3486700817,2608637.126265965
St. Louis,2038,1852864.496433667,476190.82422572863,1376673.6722079385,1146626.0536880577,2999490.5501217246,2302245.3119366677,456482.6373888098,2758727.9493254777
St. Louis,2039,1632586.224485612,264354.23898396594,1368231.985501646,1116665.3132764357,2749251.5377620477,2522523.5838847226,486443.3778004318,3008966.9616851546
St. Louis,2040,1620704.8956560649,261625.8084585926,1359079.0871974723,1090463.9103799688,2711168.8060360337,2534404.91271427,512644.7806968987,3047049.6934111686
St. Louis,2041,1613377.177010532,261832.87439712137,1351544.3026134106,1057216.6299704844,2670593.8069810164,2541732.6313598026,545892.0611063831,3087624.692466186
St. Louis,2042,1602139.908016555,257636.3190681016,1344503.5889484533,1035772.663365919,2637912.571382474,2552969.9003537796,567336.0277109485,3120305.928064728
St. Louis,2043,1591809.0953786094,255165.75101187508,1336643.3443667344,1015569.9412189332,2607379.0365975425,2563300.712991725,587538.7498579343,3150839.46284966
St. Louis,2044,1580937.8133435813,251499.77035014128,1329438.04299344,1003134.6174814224,2584072.4308250034,2574171.9950267533,599974.0735954451,3174146.068622199
St. Louis,2045,1572987.6716343833,250274.2857219373,1322713.3859124458,989780.7733605944,2562768.4449949777,2582122.1367359515,613327.9177162731,3195450.0544522246
St. Louis,2046,1564614.4836987206,247661.1098013077,1316953.373897413,980367.8679640512,2544982.351662772,2590495.324671614,622740.8231128163,3213236.1477844305
St. Louis,2047,1558220.5307274633,247271.58504717937,1310948.945680284,970492.093678452,2528712.6244059154,2596889.2776428713,632616.5973984156,3229505.875041287
St. Louis,2048,1556271.902846574,251337.50463687343,1304934.3982097004,968065.7802681644,2524337.683114738,2598837.9055237602,635042.9108087032,3233880.816332464
St. Louis,2049,1553672.527993939,255580.6375984555,1298091.890395483,972433.9222240328,2526106.4502179716,2601437.2803763957,630674.7688528347,3232112.0492292307
St. Louis,2050,1535310.7696053083,243921.9106764531,1291388.858928855,979497.367861704,2514808.1374670123,2619799.0387650263,623611.3232151635,3243410.36198019
