city,year,transport_old_mt_co2,transport_new_mt_co2,delta_mt_co2,pct_change
Akron,2027,1603108.6910768675,474921.77526139596,-1128186.9158154717,-70.37494850443527
Akron,2028,1539102.1430715837,453968.27127258346,-1085133.8717990003,-70.50434415180531
Akron,2029,1506549.9665316714,437270.37061712134,-1069279.5959145501,-70.97538214256575
Akron,2030,1455393.219742279,421445.8024318054,-1033947.4173104736,-71.04247864323327
Akron,2031,1408367.275946535,406189.322824444,-1002177.953122091,-71.15884970051918
Akron,2032,1355844.0604569844,392399.7035184114,-963444.3569385731,-71.05864052049216
Akron,2033,1339843.91634235,379093.37033031764,-960750.5460120323,-71.70615429853893
Akron,2034,1290575.3868787491,366044.9296304132,-924530.4572483359,-71.63707495493996
Akron,2035,1250086.09034508,353690.8823404105,-896395.2080046695,-71.70667803824807
Akron,2036,1212714.8061151672,341996.77697181713,-870718.0291433501,-71.7990763164362
Akron,2037,1178157.3424067858,331072.0793831305,-847085.2630236554,-71.89916257646848
Akron,2038,1146626.0536880577,320477.7182575514,-826148.3354305064,-72.05037185168148
Akron,2039,1116665.3132764357,311029.6848865947,-805635.628389841,-72.14656162516638
Akron,2040,1090463.9103799688,302808.3002717869,-787655.6101081818,-72.23124053997584
Akron,2041,1057216.6299704844,295453.1542563434,-761763.475714141,-72.05367888844201
Akron,2042,1035772.663365919,288884.9816276787,-746887.6817382404,-72.10922899925764
Akron,2043,1015569.9412189332,283281.0686234454,-732288.8725954879,-72.1061979952421
Akron,2044,1003134.6174814224,278411.0313526462,-724723.5861287762,-72.2458953663014
Akron,2045,989780.7733605944,273906.3486788925,-715874.4246817019,-72.32656401791878
Akron,2046,980367.8679640512,270904.79233706335,-709463.0756269878,-72.36702658363778
Akron,2047,970492.093678452,265895.6947561272,-704596.3989223248,-72.6019720832239
Akron,2048,968065.7802681644,263344.9961140281,-704720.7841541362,-72.7967870074822
Akron,2049,972433.9222240328,261946.76752451767,-710487.1546995151,-73.06276945528342
Akron,2050,979497.367861704,261895.9599402542,-717601.4079214497,-73.262208911088
Atlanta,2027,1603108.6910768675,1475530.0653015503,-127578.6257753172,-7.958201866500886
Atlanta,2028,1539102.1430715837,1411223.7216499213,-127878.42142166244,-8.308637733844986
Atlanta,2029,1506549.9665316714,1359385.038624698,-147164.9279069733,-9.768340325662841
