city,state,region,year,v1_excel_mt_co2,v2_city_specific_mt_co2,v3_mpg_split_mt_co2,v2_v1_delta,v2_v1_pct,v3_v1_delta,v3_v1_pct,v3_v2_delta,v3_v2_pct,v2_gasoline,v2_diesel,v2_ethanol,v2_electricity,v3_gasoline,v3_diesel,v3_ethanol,v3_electricity
Akron,Ohio,PJMW,2027,1603108.6910768675,474921.77526139596,522081.987657021,-1128186.9158154717,-70.37494850443527,-1081026.7034198465,-67.43315094210367,47160.212395625014,9.930101092894326,413278.2681184721,16504.78737243548,43180.636744689,1958.0830257993873,468319.7397929544,13346.357674682411,37841.9617056093,2573.9284837749137
Akron,Ohio,PJMW,2028,1539102.1430715837,453968.27127258346,500372.5169585998,-1085133.8717990003,-70.50434415180531,-1038729.6261129839,-67.4893236156499,46404.24568601634,10.221913869868912,395298.45118272165,16490.08792667679,40057.13703606089,2122.59512712413,449327.10339234455,13238.536895655267,35010.63047940329,2796.2461911966598
Akron,Ohio,PJMW,2029,1506549.9665316714,437270.37061712134,489653.6912102278,-1069279.5959145501,-70.97538214256575,-1016896.2753214436,-67.49834375971663,52383.320593106444,11.979618129437323,381180.3516602801,16454.731923535513,37159.22048299442,2476.0665503113623,440878.7993109674,13133.973018645978,32398.61360199909,3242.305278615379
Akron,Ohio,PJMW,2030,1455393.219742279,421445.8024318054,472709.29712380935,-1033947.4173104736,-71.04247864323327,-982683.9226184697,-67.52016632264395,51263.49469200394,12.163721739831288,367665.10090642475,16447.06889092723,34470.85264695129,2862.7799875021474,425776.9348429942,13079.99334457638,30080.808712472084,3771.56022376665
Akron,Ohio,PJMW,2031,1408367.275946535,406189.322824444,457071.4522266705,-1002177.953122091,-71.15884970051918,-951295.8237198645,-67.54600450940738,50882.129402226536,12.526702831186412,354622.6736730555,16397.55366973394,31976.796024395422,3192.2994572591233,411965.514796551,12997.916445033465,27890.09707724882,4217.923907837213
Akron,Ohio,PJMW,2032,1355844.0604569844,392399.7035184114,440055.2836831274,-963444.3569385731,-71.05864052049216,-915788.7767738571,-67.5438130005299,47655.580164716,12.144652439188196,343244.5331530637,16371.20598737463,29663.42601025929,3120.5383677137534,397178.9949254821,12929.184401889024,25837.772779040923,4109.331576715351
Akron,Ohio,PJMW,2033,1339843.91634235,379093.37033031764,434693.6335023414,-960750.5460120323,-71.70615429853893,-905150.2828400086,-67.5563975624105,55600.263172023755,14.66664086569946,331820.5260711703,16330.068000268719,27519.429415459592,3423.3468434190577,393433.45901946665,12880.935227006514,23899.42277796083,4479.816477907407
Akron,Ohio,PJMW,2034,1290575.3868787491,366044.9296304132,418043.22717240464,-924530.4572483359,-71.63707495493996,-872532.1597063445,-67.60799629199188,51998.29754199146,14.20544128134568,320608.5714293691,16320.733676765998,25531.68949766639,3583.935026611745,378264.2698354554,12886.70160059167,22212.743471503287,4679.5122648542865
Akron,Ohio,PJMW,2035,1250086.09034508,353690.8823404105,404314.72038999,-896395.2080046695,-71.70667803824807,-845771.36995509,-67.65704990138872,50623.83804957953,14.313017546450777,309961.00777851517,16341.332494730006,23687.945166508605,3700.5969006567066,365922.6569666508,12941.433424457384,20620.13162587115,4830.498373010677
Akron,Ohio,PJMW,2036,1212714.8061151672,341996.77697181713,391566.9420357691,-870718.0291433501,-71.7990763164362,-821147.8640793981,-67.71153942697197,49570.16506395198,14.494336906583449,299901.1381875039,16383.978881251764,21977.267744982408,3734.392158079051,354510.5975093782,13043.881871412968,19140.749409800934,4871.713245176988
